MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2021-11-14 16:10:05,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,1,0,0,0,,,1.03
2021-11-14 16:29:13,1.8.1,RevNeutral,1,4.1,3,1,Pellet,Left,1,0,1,0,Timed_out,,
2021-11-14 16:29:41,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,2,0,1,0,,,0.17
2021-11-14 16:29:43,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,2,0,2,0,1.34,30.0,
2021-11-14 16:34:51,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,2,1,2,0,,,1.02
2021-11-14 17:07:22,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,2,2,2,0,,,0.37
2021-11-14 17:07:28,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,2,3,2,0,,,0.16
2021-11-14 17:10:40,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,2,4,2,0,,,0.15
2021-11-14 17:10:49,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,2,5,2,0,,,0.42
2021-11-14 17:10:52,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,2,6,2,0,,,0.06
2021-11-14 17:11:07,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,2,7,2,0,,,0.49
2021-11-14 17:11:11,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,2,8,2,0,,,0.06
2021-11-14 17:11:14,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,3,8,2,0,,,0.07
2021-11-14 17:11:40,1.8.1,RevNeutral,1,4.1,2,1,Pellet,Left,3,8,3,0,22.66,2517.0,
2021-11-14 17:13:28,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,3,9,3,0,,,0.21
2021-11-14 17:13:30,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,10,3,0,,,0.06
2021-11-14 17:15:59,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,11,3,0,,,83.93
2021-11-14 17:16:56,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,12,3,0,,,0.43
2021-11-14 17:16:58,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,13,3,0,,,0.0
2021-11-14 17:17:33,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,14,3,0,,,1.16
2021-11-14 17:21:03,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,3,15,3,0,,,136.05
2021-11-14 17:24:38,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,3,16,3,0,,,2.34
2021-11-14 17:25:46,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,4,16,3,0,,,0.02
2021-11-14 17:25:48,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,4,16,4,0,0.97,848.0,
2021-11-14 17:26:44,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,4,17,4,0,,,0.34
2021-11-14 17:26:48,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,4,18,4,0,,,0.11
2021-11-14 17:26:52,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,4,19,4,0,,,0.14
2021-11-14 17:26:56,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,4,20,4,0,,,0.13
2021-11-14 17:31:57,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,4,21,4,0,,,0.23
2021-11-14 17:32:00,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,4,22,4,0,,,0.07
2021-11-14 17:32:04,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,5,22,4,0,,,0.34
2021-11-14 17:32:06,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,5,22,5,0,0.85,378.0,
2021-11-14 17:37:36,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,23,5,0,,,0.12
2021-11-14 17:48:12,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,24,5,0,,,0.04
2021-11-14 17:48:15,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,25,5,0,,,0.27
2021-11-14 17:48:17,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,26,5,0,,,0.07
2021-11-14 17:48:23,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,27,5,0,,,0.29
2021-11-14 17:48:25,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,28,5,0,,,0.04
2021-11-14 17:48:28,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,29,5,0,,,0.1
2021-11-14 17:57:00,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,5,30,5,0,,,0.08
2021-11-14 17:57:08,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,5,31,5,0,,,0.51
2021-11-14 17:57:09,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,32,5,0,,,0.0
2021-11-14 17:57:35,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,33,5,0,,,0.04
2021-11-14 19:06:35,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,5,34,5,0,,,0.4
2021-11-14 19:12:58,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,35,5,0,,,0.44
2021-11-14 19:15:49,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,5,36,5,0,,,0.19
2021-11-14 19:15:53,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,5,37,5,0,,,0.82
2021-11-14 19:16:00,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,6,37,5,0,,,0.16
2021-11-14 19:16:02,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,6,37,6,0,0.73,6236.0,
2021-11-14 19:16:53,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,7,37,6,0,,,0.17
2021-11-14 19:16:54,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,7,37,7,0,1.22,52.0,
2021-11-14 19:17:22,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,8,37,7,0,,,0.3
2021-11-14 19:17:23,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,8,37,8,0,0.91,29.0,
2021-11-14 19:17:52,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,9,37,8,0,,,0.05
2021-11-14 19:17:56,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,9,37,9,0,2.69,32.0,
2021-11-14 19:18:21,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,10,37,9,0,,,0.05
2021-11-14 19:18:23,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,10,37,10,0,1.77,28.0,
2021-11-14 19:18:45,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,11,37,10,0,,,0.03
2021-11-14 19:18:46,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,11,37,11,0,0.73,23.0,
2021-11-14 19:19:07,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,12,37,11,0,,,0.04
2021-11-14 19:19:08,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,12,37,12,0,0.67,22.0,
2021-11-14 19:19:24,1.8.1,RevNeutral,1,4.11,1,1,Left,Left,13,37,12,0,,,0.12
2021-11-14 19:19:27,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,13,37,13,0,1.83,19.0,
2021-11-14 20:29:33,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,13,38,13,0,,,0.3
2021-11-14 20:29:41,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,14,38,13,0,,,0.5
2021-11-14 20:29:43,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,14,38,14,0,1.10,4216.0,
2021-11-14 20:30:12,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,14,39,14,0,,,0.33
2021-11-14 20:30:17,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,15,39,14,0,,,0.12
2021-11-14 20:30:18,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,15,39,15,0,1.16,35.0,
2021-11-14 20:30:43,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,16,39,15,0,,,0.12
2021-11-14 20:30:44,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,16,39,16,0,0.42,26.0,
2021-11-14 20:31:02,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,17,39,16,0,,,0.04
2021-11-14 20:31:03,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,17,39,17,0,0.73,19.0,
2021-11-14 20:32:30,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,17,40,17,0,,,0.05
2021-11-14 20:52:19,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,17,41,17,0,,,0.02
2021-11-14 20:52:21,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,17,42,17,0,,,0.22
2021-11-14 20:52:24,1.8.1,RevNeutral,1,4.11,1,1,Right,Left,17,43,17,0,,,0.06
2021-11-14 20:52:30,1.8.1,RevNeutral,1,4.09,1,1,Right,Left,17,44,17,0,,,0.19
2021-11-14 20:52:32,1.8.1,RevNeutral,1,4.09,1,1,Right,Left,17,45,17,0,,,0.11
2021-11-14 20:52:39,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,18,45,17,0,,,0.31
2021-11-14 20:52:40,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,18,45,18,0,0.42,1297.0,
2021-11-14 20:52:58,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,19,45,18,0,,,0.2
2021-11-14 20:53:00,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,19,45,19,0,0.49,19.0,
2021-11-14 20:53:20,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,20,45,19,0,,,0.11
2021-11-14 20:53:23,1.8.1,RevNeutral,1,4.11,2,1,Pellet,Left,20,45,20,0,0.49,24.0,
2021-11-14 20:53:43,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,21,45,20,0,,,0.18
2021-11-14 20:53:44,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,21,45,21,0,0.91,21.0,
2021-11-14 20:54:06,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,22,45,21,0,,,0.17
2021-11-14 20:54:07,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,22,45,22,0,0.48,23.0,
2021-11-14 20:54:31,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,23,45,22,0,,,0.22
2021-11-14 20:54:32,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,23,45,23,0,0.24,25.0,
2021-11-14 20:54:52,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,24,45,23,0,,,0.06
2021-11-14 20:54:53,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,24,45,24,0,0.42,21.0,
2021-11-14 20:55:20,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,25,45,24,0,,,0.29
2021-11-14 20:55:22,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,25,45,25,0,1.16,28.0,
2021-11-14 21:15:52,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,46,25,0,,,0.03
2021-11-14 21:20:31,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,47,25,0,,,0.02
2021-11-14 21:20:35,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,48,25,0,,,1.5
2021-11-14 21:20:40,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,49,25,0,,,2.56
2021-11-14 21:20:43,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,50,25,0,,,1.06
2021-11-14 21:20:46,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,51,25,0,,,1.16
2021-11-14 21:20:48,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,25,52,25,0,,,0.64
2021-11-14 21:21:51,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,26,52,25,0,,,0.4
2021-11-14 21:21:52,1.8.1,RevNeutral,1,4.1,2,1,Pellet,Left,26,52,26,0,0.79,1591.0,
2021-11-14 21:22:20,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,26,53,26,0,,,0.06
2021-11-14 21:22:22,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,26,54,26,0,,,0.04
2021-11-14 21:22:24,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,26,55,26,0,,,0.79
2021-11-14 21:22:28,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,26,56,26,0,,,0.08
2021-11-14 21:35:06,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,26,57,26,0,,,0.09
2021-11-14 21:35:08,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,27,57,26,0,,,0.41
2021-11-14 21:35:12,1.8.1,RevNeutral,1,4.1,2,1,Pellet,Left,27,57,27,0,0.73,800.0,
2021-11-14 21:35:44,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,28,57,27,0,,,0.01
2021-11-14 21:35:45,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,28,57,28,0,0.73,33.0,
2021-11-14 21:36:19,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,29,57,28,0,,,0.04
2021-11-14 21:36:20,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,29,57,29,0,1.16,35.0,
2021-11-14 21:51:57,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,30,57,29,0,,,0.05
2021-11-14 21:51:59,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,30,57,30,0,1.89,939.0,
2021-11-14 22:02:14,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,30,58,30,0,,,0.21
2021-11-14 22:02:16,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,31,58,30,0,,,0.04
2021-11-14 22:02:18,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,31,58,31,0,0.91,619.0,
2021-11-14 22:02:49,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,32,58,31,0,,,0.04
2021-11-14 22:02:50,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,32,58,32,0,0.49,32.0,
2021-11-14 22:03:13,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,33,58,32,0,,,0.03
2021-11-14 22:03:14,1.8.1,RevNeutral,1,4.11,1,1,Pellet,Left,33,58,33,0,0.49,24.0,
2021-11-14 22:03:34,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,34,58,33,0,,,0.07
2021-11-14 22:03:35,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,34,58,34,0,0.36,21.0,
2021-11-14 22:03:56,1.8.1,RevNeutral,1,4.09,1,1,Left,Left,35,58,34,0,,,0.08
2021-11-14 22:03:57,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Left,35,58,35,0,0.30,22.0,
2021-11-14 22:04:17,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,36,58,35,0,,,0.06
2021-11-14 22:04:20,1.8.1,RevNeutral,1,4.1,2,1,Pellet,Left,36,58,36,0,0.42,23.0,
2021-11-14 22:04:42,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,37,58,36,0,,,0.1
2021-11-14 22:04:44,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,37,58,37,0,1.34,24.0,
2021-11-14 22:05:04,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,38,58,37,0,,,0.12
2021-11-14 22:05:07,1.8.1,RevNeutral,1,4.09,3,1,Pellet,Left,38,58,38,0,0.24,23.0,
2021-11-14 22:20:55,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,39,58,38,0,,,0.07
2021-11-14 22:21:00,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Left,39,58,39,0,4.29,953.0,
2021-11-14 22:29:57,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,39,59,39,0,,,1.32
2021-11-14 22:29:59,1.8.1,RevNeutral,1,4.1,1,1,Right,Left,39,60,39,0,,,0.65
2021-11-14 22:35:42,1.8.1,RevNeutral,1,4.1,1,1,Left,Left,40,60,39,0,,,0.08
2021-11-14 22:36:05,1.8.1,RevNeutral,1,4.09,3,1,Pellet,Left,40,60,40,0,18.14,905.0,
2021-11-14 22:36:33,1.8.1,RevNeutral,1,4.1,1,1,Right,Right,40,61,40,0,,,0.25
2021-11-14 22:36:35,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Right,40,61,41,0,0.73,30.0,
2021-11-14 22:43:15,1.8.1,RevNeutral,1,4.1,1,1,Right,Right,40,62,41,0,,,0.09
2021-11-14 22:43:20,1.8.1,RevNeutral,1,4.1,2,1,Pellet,Right,40,62,42,0,2.08,405.0,
2021-11-14 22:43:45,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,41,62,42,0,,,0.04
2021-11-14 22:55:25,1.8.1,RevNeutral,1,4.1,1,1,Right,Right,41,63,42,0,,,0.13
2021-11-14 22:55:26,1.8.1,RevNeutral,1,4.09,1,1,Pellet,Right,41,63,43,0,0.73,726.0,
2021-11-14 22:57:26,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,42,63,43,0,,,0.24
2021-11-14 22:57:28,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,43,63,43,0,,,0.09
2021-11-14 23:07:15,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,44,63,43,0,,,0.2
2021-11-14 23:07:22,1.8.1,RevNeutral,1,4.1,1,1,Right,Right,44,64,43,0,,,0.06
2021-11-14 23:07:23,1.8.1,RevNeutral,1,4.1,1,1,Pellet,Right,44,64,44,0,0.61,717.0,
2021-11-14 23:07:44,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,45,64,44,0,,,0.2
2021-11-14 23:07:46,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,46,64,44,0,,,0.11
2021-11-14 23:07:49,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,47,64,44,0,,,0.22
2021-11-14 23:07:57,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,48,64,44,0,,,0.11
2021-11-14 23:07:57,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,49,64,44,0,,,0.0
2021-11-14 23:07:59,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,50,64,44,0,,,0.14
2021-11-14 23:08:01,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,51,64,44,0,,,0.29
2021-11-14 23:08:05,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,52,64,44,0,,,0.25
2021-11-14 23:08:06,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,53,64,44,0,,,0.5
2021-11-14 23:08:08,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,54,64,44,0,,,0.69
2021-11-14 23:08:09,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,55,64,44,0,,,0.0
2021-11-14 23:08:10,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,56,64,44,0,,,0.0
2021-11-14 23:08:11,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,57,64,44,0,,,0.0
2021-11-14 23:08:12,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,58,64,44,0,,,0.38
2021-11-14 23:08:14,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,59,64,44,0,,,0.37
2021-11-14 23:08:17,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,60,64,44,0,,,1.83
2021-11-14 23:08:19,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,61,64,44,0,,,0.15
2021-11-14 23:08:22,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,62,64,44,0,,,0.85
2021-11-14 23:08:24,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,63,64,44,0,,,0.8
2021-11-14 23:08:27,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,64,64,44,0,,,1.09
2021-11-14 23:08:29,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,65,64,44,0,,,0.37
2021-11-14 23:08:30,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,66,64,44,0,,,0.0
2021-11-14 23:08:34,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,67,64,44,0,,,0.55
2021-11-14 23:08:43,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,68,64,44,0,,,1.05
2021-11-14 23:08:48,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,69,64,44,0,,,1.69
2021-11-14 23:08:50,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,70,64,44,0,,,0.03
2021-11-14 23:08:53,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,71,64,44,0,,,0.62
2021-11-14 23:08:57,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,72,64,44,0,,,0.4
2021-11-14 23:08:58,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,73,64,44,0,,,0.23
2021-11-14 23:09:00,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,74,64,44,0,,,1.0
2021-11-14 23:09:01,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,75,64,44,0,,,0.0
2021-11-14 23:09:02,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,76,64,44,0,,,0.26
2021-11-14 23:09:39,1.8.1,RevNeutral,1,4.09,1,1,Left,Right,77,64,44,0,,,0.18
2021-11-14 23:09:41,1.8.1,RevNeutral,1,4.1,1,1,Left,Right,78,64,44,0,,,0.17
