MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
2021-04-02 17:57:25,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,1,0,0,0,,0.28
2021-04-02 17:58:10,1.4.2,FR1_Rev,6,3.98,4,1,Pellet,Left,1,0,1,0,39.38,
2021-04-02 17:58:45,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,1,1,1,0,,0.26
2021-04-02 17:58:47,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,1,2,1,0,,0.01
2021-04-02 17:58:52,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,2,2,1,0,,0.26
2021-04-02 17:58:56,1.4.2,FR1_Rev,6,3.98,3,1,Pellet,Left,2,2,2,0,0.61,
2021-04-02 17:59:33,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,3,2,2,0,,0.06
2021-04-02 17:59:37,1.4.2,FR1_Rev,6,3.98,2,1,Pellet,Left,3,2,3,0,0.55,
2021-04-02 18:01:44,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,4,2,3,0,,0.04
2021-04-02 18:06:09,1.4.2,FR1_Rev,6,3.98,2,1,Pellet,Left,4,2,4,0,Timed_out,
2021-04-02 18:35:57,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,5,2,4,0,,0.23
2021-04-02 18:35:59,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,5,2,5,0,0.54,
2021-04-02 18:36:26,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,6,2,5,0,,0.12
2021-04-02 18:36:28,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,6,2,6,0,0.48,
2021-04-02 18:37:09,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,7,2,6,0,,0.1
2021-04-02 18:37:10,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,7,2,7,0,0.12,
2021-04-02 18:38:05,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,8,2,7,0,,0.02
2021-04-02 18:38:06,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,8,2,8,0,0.48,
2021-04-02 18:38:50,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,9,2,8,0,,0.07
2021-04-02 18:38:51,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,9,2,9,0,0.42,
2021-04-02 18:39:51,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,10,2,9,0,,0.06
2021-04-02 18:39:53,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,10,2,10,0,0.67,
2021-04-02 18:47:53,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,11,2,10,0,,0.01
2021-04-02 18:47:55,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,11,2,11,0,0.67,
2021-04-02 18:55:46,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,12,2,11,0,,0.49
2021-04-02 19:00:03,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,12,2,12,0,Timed_out,
2021-04-02 19:03:05,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,13,2,12,0,,0.14
2021-04-02 19:16:36,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,13,2,13,0,Timed_out,
2021-04-02 19:17:10,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,14,2,13,0,,0.02
2021-04-02 19:17:11,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,14,2,14,0,0.73,
2021-04-02 19:24:43,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,14,3,14,0,,0.53
2021-04-02 19:25:00,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,15,3,14,0,,0.1
2021-04-02 19:25:03,1.4.2,FR1_Rev,6,3.98,2,1,Pellet,Left,15,3,15,0,0.30,
2021-04-02 19:25:41,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,15,4,15,0,,0.02
2021-04-02 19:27:50,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,15,5,15,0,,0.25
2021-04-02 19:29:24,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,15,6,15,0,,0.0
2021-04-02 19:30:24,1.4.2,FR1_Rev,6,3.98,1,1,Left,Left,16,6,15,0,,0.03
2021-04-02 19:30:26,1.4.2,FR1_Rev,6,3.98,1,1,Pellet,Left,16,6,16,0,0.97,
2021-04-02 19:31:48,1.4.2,FR1_Rev,6,3.98,1,1,Right,Left,16,7,16,0,,0.01
