MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/19/2023 17:58:48,1.17.0,20,80,3.94,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
5/19/2023 18:05:14,1.17.0,20,80,3.93,3,30,Pellet,Left,0,1,1,0,Timed_out,nan,nan
5/19/2023 18:05:27,1.17.0,20,80,3.94,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
5/19/2023 18:06:52,1.17.0,20,80,3.93,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
5/19/2023 18:07:00,1.17.0,20,80,3.94,2,30,Pellet,Right,2,1,2,1,4.77,106,nan
5/19/2023 18:08:12,1.17.0,20,80,3.94,nan,30,Left,Right,3,1,2,2,nan,nan,0.01
5/19/2023 18:14:06,1.17.0,20,80,3.93,nan,30,Right,Left,3,2,2,2,nan,nan,0.00
5/19/2023 18:14:10,1.17.0,20,80,3.93,2,30,Pellet,Left,3,2,3,2,0.79,430,nan
5/19/2023 18:16:00,1.17.0,20,80,3.93,nan,30,Left,Right,4,2,3,3,nan,nan,0.00
5/19/2023 18:16:04,1.17.0,20,80,3.93,nan,30,LeftinTimeOut,Right,4,2,3,3,nan,nan,nan
5/19/2023 18:16:32,1.17.0,20,80,3.93,nan,30,Right,Left,4,3,3,3,nan,nan,0.00
5/19/2023 18:16:36,1.17.0,20,80,3.93,2,30,Pellet,Left,4,3,4,3,0.42,146,nan
5/19/2023 18:18:51,1.17.0,20,80,3.93,nan,30,Right,Left,4,4,4,4,nan,nan,0.00
5/19/2023 18:18:56,1.17.0,20,80,3.93,2,30,Pellet,Left,4,4,5,4,1.83,140,nan
5/19/2023 18:19:29,1.17.0,20,80,3.93,nan,30,Right,Left,4,5,5,5,nan,nan,0.00
5/19/2023 18:19:34,1.17.0,20,80,3.93,2,30,Pellet,Left,4,5,6,5,1.65,38,nan
5/19/2023 18:20:30,1.17.0,20,80,3.93,nan,30,Left,Right,5,5,6,6,nan,nan,0.00
5/19/2023 18:22:23,1.17.0,20,80,3.94,nan,30,Right,Left,5,6,6,6,nan,nan,0.00
5/19/2023 18:22:31,1.17.0,20,80,3.93,1,30,Pellet,Left,5,6,7,6,5.02,177,nan
5/19/2023 18:22:35,1.17.0,20,80,3.93,nan,30,Right,Left,5,7,7,7,nan,nan,0.00
5/19/2023 18:22:44,1.17.0,20,80,3.93,3,30,Pellet,Left,5,7,8,7,2.38,13,nan
5/19/2023 18:26:48,1.17.0,20,80,3.93,nan,30,Left,Right,6,7,8,8,nan,nan,0.00
5/19/2023 18:26:53,1.17.0,20,80,3.93,1,30,Pellet,Right,6,7,9,8,2.08,249,nan
5/19/2023 18:28:29,1.17.0,20,80,3.93,nan,30,Left,Right,7,7,9,9,nan,nan,0.00
5/19/2023 18:41:01,1.17.0,20,80,3.93,nan,30,Left,Right,8,7,9,9,nan,nan,0.00
5/19/2023 18:41:32,1.17.0,20,80,3.93,nan,30,Left,Right,9,7,9,9,nan,nan,0.00
5/19/2023 18:41:36,1.17.0,20,80,3.93,nan,30,LeftinTimeOut,Right,9,7,9,9,nan,nan,nan
