MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/1/2023 17:19:24,1.17.0,20,80,4.18,nan,30,Left,Right,1,0,0,0,nan,nan,0.00
5/1/2023 17:19:54,1.17.0,20,80,4.18,nan,30,Right,Left,1,1,0,0,nan,nan,0.00
5/1/2023 17:22:00,1.17.0,20,80,4.18,3,30,Pellet,Left,1,1,1,0,Timed_out,nan,nan
5/1/2023 17:24:48,1.17.0,20,80,4.18,nan,30,Left,Right,2,1,1,1,nan,nan,0.00
5/1/2023 17:24:52,1.17.0,20,80,4.18,2,30,Pellet,Right,2,1,2,1,0.30,172,nan
5/1/2023 17:27:26,1.17.0,20,80,4.18,nan,30,Right,Left,2,2,2,2,nan,nan,0.00
5/1/2023 17:27:32,1.17.0,20,80,4.18,3,30,Pellet,Left,2,2,3,2,0.42,160,nan
5/1/2023 17:29:31,1.17.0,20,80,4.18,nan,30,Left,Right,3,2,3,3,nan,nan,0.33
5/1/2023 17:29:44,1.17.0,20,80,4.18,nan,30,RightinTimeout,Right,3,2,3,3,nan,nan,0.27
5/1/2023 17:32:37,1.17.0,20,80,4.18,nan,30,Right,Left,3,3,3,3,nan,nan,0.00
5/1/2023 17:34:10,1.17.0,20,80,4.18,nan,30,Right,Left,3,4,3,3,nan,nan,0.00
5/1/2023 17:34:15,1.17.0,20,80,4.18,1,30,Pellet,Left,3,4,4,3,1.83,403,nan
5/1/2023 17:34:50,1.17.0,20,80,4.18,nan,30,Right,Left,3,5,4,4,nan,nan,0.00
5/1/2023 17:34:54,1.17.0,20,80,4.18,1,30,Pellet,Left,3,5,5,4,0.42,39,nan
5/1/2023 17:36:14,1.17.0,20,80,4.18,nan,30,Right,Left,3,6,5,5,nan,nan,0.00
5/1/2023 17:39:08,1.17.0,20,80,4.18,nan,30,Right,Left,3,7,5,5,nan,nan,0.00
5/1/2023 17:39:38,1.17.0,20,80,4.18,2,30,Pellet,Left,3,7,6,5,27.29,284,nan
5/1/2023 17:39:55,1.17.0,20,80,4.18,nan,30,Right,Left,3,8,6,6,nan,nan,0.00
5/1/2023 17:39:59,1.17.0,20,80,4.18,1,30,Pellet,Left,3,8,7,6,1.64,21,nan
5/1/2023 17:41:14,1.17.0,20,80,4.18,nan,30,Left,Right,4,8,7,7,nan,nan,0.00
5/1/2023 17:41:55,1.17.0,20,80,4.18,nan,30,Left,Right,5,8,7,7,nan,nan,0.00
5/1/2023 17:44:47,1.17.0,20,80,4.18,nan,30,Left,Right,6,8,7,7,nan,nan,0.00
5/1/2023 17:45:10,1.17.0,20,80,4.18,nan,30,Left,Right,7,8,7,7,nan,nan,0.00
5/1/2023 17:47:37,1.17.0,20,80,4.18,nan,30,Left,Right,8,8,7,7,nan,nan,0.00
5/1/2023 17:57:20,1.17.0,20,80,4.18,nan,30,Left,Right,9,8,7,7,nan,nan,0.00
5/1/2023 17:57:39,1.17.0,20,80,4.18,nan,30,Right,Left,9,9,7,7,nan,nan,0.00
5/1/2023 17:57:42,1.17.0,20,80,4.18,1,30,Pellet,Left,9,9,8,7,0.18,1063,nan
5/1/2023 17:58:11,1.17.0,20,80,4.18,nan,30,Right,Left,9,10,8,8,nan,nan,0.00
5/1/2023 17:58:32,1.17.0,20,80,4.17,4,30,Pellet,Left,9,10,9,8,13.00,49,nan
5/1/2023 17:58:53,1.17.0,20,80,4.18,nan,30,Right,Left,9,11,9,9,nan,nan,0.00
5/1/2023 17:58:57,1.17.0,20,80,4.18,2,30,Pellet,Left,9,11,10,9,0.24,26,nan
5/1/2023 17:59:16,1.17.0,20,80,4.18,nan,30,Right,Left,9,12,10,10,nan,nan,0.00
5/1/2023 17:59:29,1.17.0,20,80,4.18,3,30,Pellet,Left,9,12,11,10,8.51,32,nan
5/1/2023 17:59:53,1.17.0,20,80,4.18,nan,30,Right,Left,9,13,11,11,nan,nan,0.00
5/1/2023 17:59:57,1.17.0,20,80,4.18,1,30,Pellet,Left,9,13,12,11,0.24,28,nan
5/1/2023 18:00:17,1.17.0,20,80,4.18,nan,30,Right,Left,9,14,12,12,nan,nan,0.00
5/1/2023 18:00:20,1.17.0,20,80,4.18,1,30,Pellet,Left,9,14,13,12,0.36,23,nan
5/1/2023 18:00:44,1.17.0,20,80,4.18,nan,30,Right,Left,9,15,13,13,nan,nan,0.00
5/1/2023 18:00:49,1.17.0,20,80,4.17,2,30,Pellet,Left,9,15,14,13,0.18,29,nan
5/1/2023 18:01:07,1.17.0,20,80,4.18,nan,30,Right,Left,9,16,14,14,nan,nan,0.00
5/1/2023 18:01:11,1.17.0,20,80,4.18,1,30,Pellet,Left,9,16,15,14,0.85,22,nan
5/1/2023 18:01:44,1.17.0,20,80,4.18,nan,30,Right,Left,9,17,15,15,nan,nan,0.00
5/1/2023 18:01:47,1.17.0,20,80,4.18,1,30,Pellet,Left,9,17,16,15,0.36,36,nan
5/1/2023 18:02:07,1.17.0,20,80,4.18,nan,30,Right,Left,9,18,16,16,nan,nan,0.00
5/1/2023 18:25:36,1.17.0,20,80,4.18,nan,30,Left,Right,10,18,16,16,nan,nan,0.00
5/1/2023 18:25:58,1.17.0,20,80,4.18,nan,30,Right,Left,10,19,16,16,nan,nan,0.00
5/1/2023 18:26:02,1.17.0,20,80,4.17,nan,30,RightinTimeout,Left,10,19,16,16,nan,nan,0.32
5/1/2023 18:26:16,1.17.0,20,80,4.18,nan,30,Right,Left,10,20,16,16,nan,nan,0.00
5/1/2023 18:33:43,1.17.0,20,80,4.17,nan,30,Right,Left,10,21,16,16,nan,nan,0.00
5/1/2023 18:33:47,1.17.0,20,80,4.17,1,30,Pellet,Left,10,21,17,16,0.42,1920,nan
5/1/2023 18:34:16,1.17.0,20,80,4.16,nan,30,Right,Left,10,22,17,17,nan,nan,0.00
5/1/2023 18:34:32,1.17.0,20,80,4.18,2,30,Pellet,Left,10,22,18,17,10.60,45,nan
5/1/2023 18:34:52,1.17.0,20,80,4.17,nan,30,Right,Left,10,23,18,18,nan,nan,0.00
5/1/2023 18:34:55,1.17.0,20,80,4.17,1,30,Pellet,Left,10,23,19,18,0.06,23,nan
