MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/30/2023 19:26:06,1.17.0,20,80,3.80,nan,30,Right,Left,0,1,0,0,nan,nan,0.00
3/30/2023 19:26:12,1.17.0,20,80,3.80,3,30,Pellet,Left,0,1,1,0,0.67,nan,nan
3/30/2023 19:26:27,1.17.0,20,80,3.80,nan,30,Left,Right,1,1,1,1,nan,nan,0.00
3/30/2023 19:26:34,1.17.0,20,80,3.80,nan,30,RightinTimeout,Right,1,1,1,1,nan,nan,0.06
3/30/2023 19:26:50,1.17.0,20,80,3.80,nan,30,Right,Left,1,2,1,1,nan,nan,0.00
3/30/2023 19:26:54,1.17.0,20,80,3.80,2,30,Pellet,Left,1,2,2,1,0.30,42,nan
3/30/2023 19:27:04,1.17.0,20,80,3.80,nan,30,Right,Left,1,3,2,2,nan,nan,0.00
3/30/2023 19:27:08,1.17.0,20,80,3.80,2,30,Pellet,Left,1,3,3,2,0.12,14,nan
3/30/2023 19:27:46,1.17.0,20,80,3.80,nan,30,Left,Right,2,3,3,3,nan,nan,0.00
3/30/2023 19:28:28,1.17.0,20,80,3.80,nan,30,Left,Right,3,3,3,3,nan,nan,0.00
3/30/2023 19:28:36,1.17.0,20,80,3.80,nan,30,RightinTimeout,Right,3,3,3,3,nan,nan,0.23
3/30/2023 19:29:09,1.17.0,20,80,3.80,nan,30,Left,Right,4,3,3,3,nan,nan,0.00
3/30/2023 19:30:05,1.17.0,20,80,3.80,nan,30,Left,Right,5,3,3,3,nan,nan,0.00
3/30/2023 19:30:09,1.17.0,20,80,3.79,2,30,Pellet,Right,5,3,4,3,0.36,181,nan
3/30/2023 19:30:40,1.17.0,20,80,3.80,nan,30,Right,Left,5,4,4,4,nan,nan,0.00
3/30/2023 19:30:54,1.17.0,20,80,3.80,nan,30,Left,Right,6,4,4,4,nan,nan,0.00
3/30/2023 19:30:57,1.17.0,20,80,3.80,nan,30,RightinTimeout,Right,6,4,4,4,nan,nan,0.02
3/30/2023 19:31:04,1.17.0,20,80,3.80,nan,30,LeftinTimeOut,Right,6,4,4,4,nan,nan,nan
3/30/2023 19:31:05,1.17.0,20,80,3.80,nan,30,LeftinTimeOut,Right,6,4,4,4,nan,nan,nan
3/30/2023 19:31:43,1.17.0,20,80,3.80,nan,30,Left,Right,7,4,4,4,nan,nan,0.00
3/30/2023 19:32:00,1.17.0,20,80,3.80,2,30,Pellet,Right,7,4,5,4,12.62,111,nan
3/30/2023 19:32:28,1.17.0,20,80,3.80,nan,30,Right,Left,7,5,5,5,nan,nan,0.00
3/30/2023 19:32:31,1.17.0,20,80,3.80,2,30,Pellet,Left,7,5,6,5,0.18,31,nan
3/30/2023 19:34:20,1.17.0,20,80,3.79,nan,30,Left,Right,8,5,6,6,nan,nan,0.19
3/30/2023 19:34:55,1.17.0,20,80,3.80,nan,30,Left,Right,9,5,6,6,nan,nan,0.00
3/30/2023 19:34:59,1.17.0,20,80,3.80,nan,30,LeftinTimeOut,Right,9,5,6,6,nan,nan,nan
3/30/2023 19:35:05,1.17.0,20,80,3.80,nan,30,RightinTimeout,Right,9,5,6,6,nan,nan,0.09
3/30/2023 19:35:45,1.17.0,20,80,3.80,nan,30,Left,Right,10,5,6,6,nan,nan,0.00
3/30/2023 19:36:00,1.17.0,20,80,3.80,nan,30,Left,Right,11,5,6,6,nan,nan,0.00
3/30/2023 19:37:08,1.17.0,20,80,3.80,nan,30,Left,Right,12,5,6,6,nan,nan,0.00
3/30/2023 19:37:35,1.17.0,20,80,3.80,nan,30,Right,Left,12,6,6,6,nan,nan,0.00
3/30/2023 19:37:39,1.17.0,20,80,3.80,1,30,Pellet,Left,12,6,7,6,0.48,308,nan
3/30/2023 19:38:13,1.17.0,20,80,3.80,nan,30,Left,Right,13,6,7,7,nan,nan,0.00
3/30/2023 19:38:46,1.17.0,20,80,3.80,nan,30,Left,Right,14,6,7,7,nan,nan,0.00
3/30/2023 19:38:51,1.17.0,20,80,3.80,nan,30,RightinTimeout,Right,14,6,7,7,nan,nan,0.12
3/30/2023 19:38:53,1.17.0,20,80,3.80,nan,30,LeftinTimeOut,Right,14,6,7,7,nan,nan,nan
3/30/2023 19:39:45,1.17.0,20,80,3.80,nan,30,Left,Right,15,6,7,7,nan,nan,0.00
3/30/2023 19:40:07,1.17.0,20,80,3.80,3,30,Pellet,Right,15,6,8,7,16.26,148,nan
