Variable,F_Halo1_H1_FED001_050323_00.CSV,F_Halo1_H1_FED002_050323_00.CSV,F_Halo1_H1_FED003_050423_00.CSV,F_Halo1_H1_FED004_050423_00.CSV,F_Halo2_H1_FED001_011724_00.CSV,F_Halo2_H1_FED002_011824_00.CSV,F_Halo3_H1_FED006_020724_00.csv,F_Halo3_H1_FED007_020824_00.CSV,F_Halo3_H1_FED008_020724_00.CSV,F_Halo3_H1_FED009_020824_00.CSV,F_Halo3_H1_FED010_020724_00.CSV,M_Halo1_H1_FED007_050323_00.CSV,M_Halo1_H1_FED008_050423_concat_00.CSV,M_Halo2_H1_FED003_011724_00.CSV,M_Halo2_H1_FED004_011824_00.CSV,M_Halo2_H1_FED006_012024_02.csv,M_Halo3_H1_FED002_020724_00.CSV,M_Halo3_H1_FED003_020824_00.CSV,Average,STD
Pellets Taken,99.0,208.0,130.0,109.0,141.0,118.0,157.0,158.0,183.0,141.0,145.0,142.0,154.0,108.0,124.0,172.0,161.0,139.0,143.83333333333334,27.67511092490656
Pellets Taken (Night),29.0,111.0,84.0,51.0,82.0,70.0,74.0,97.0,81.0,69.0,80.0,75.0,64.0,51.0,60.0,90.0,85.0,90.0,74.61111111111111,19.088459368051463
Pellets Taken (Day),70.0,97.0,46.0,58.0,59.0,48.0,83.0,61.0,102.0,72.0,65.0,67.0,90.0,57.0,64.0,82.0,76.0,49.0,69.22222222222223,16.415758410229074
Pellets per Hour,4.11096372339812,8.75912408759124,5.418799064446657,4.5961932650073205,6.188130882137807,4.81889442219777,6.235519957635533,7.205107417916498,7.267031415460642,6.280856750436171,5.796135909393738,5.930394431554525,6.260162601626016,4.655841356516741,5.037692411862953,6.9835111542192045,6.385088241126314,6.394234455263359,6.017982308210589,1.1433741032800036
Pellets per Hour (Night),2.4801634437211955,9.050142682429678,7.034521261747464,4.301780693533271,7.228738643876877,5.880842920818651,6.373205741626794,7.727715322652032,6.756099256273025,5.854486318320017,6.864497676081516,6.3453267843293935,5.3439717957044115,4.21565025716385,5.030860603237452,7.6009946980716,7.243460764587525,7.62981278700106,6.275681758398656,1.566294214069284
Pellets per Hour (Day),5.650097531445484,8.448250834663957,3.817603393425239,4.890502400749503,5.156466218348669,3.8144011301929273,6.1176855984603415,6.505510131532172,7.731340141067482,6.752110034385745,4.864359214218896,5.525899791518706,7.129340315979404,5.135649214135549,5.0441141055673535,6.411815812337098,5.6378660182571245,4.928337943173246,5.753408323858827,1.2423065203325143
Number of Meals,43.0,121.0,58.0,78.0,57.0,64.0,82.0,58.0,95.0,116.0,48.0,80.0,102.0,76.0,49.0,67.0,48.0,50.0,71.77777777777777,23.87850511518566
Number of Meals (Night),15.0,74.0,40.0,38.0,36.0,41.0,46.0,43.0,37.0,61.0,31.0,39.0,51.0,39.0,30.0,39.0,31.0,35.0,40.333333333333336,12.616515786390286
Number of Meals (Day),28.0,47.0,18.0,40.0,21.0,23.0,36.0,15.0,58.0,55.0,17.0,41.0,51.0,37.0,19.0,28.0,17.0,15.0,31.444444444444443,14.548993182154534
Average Pellets per Meal,2.2790697674418605,1.7107438016528926,2.2241379310344827,1.3846153846153846,2.456140350877193,1.828125,1.9024390243902438,2.706896551724138,1.9157894736842105,1.206896551724138,3.0,1.7625,1.5,1.4078947368421053,2.510204081632653,2.5522388059701493,3.3333333333333335,2.76,2.1356124886068213,0.6048835888916518
Average Pellets per Meal (Night),1.9333333333333333,1.5,2.1,1.3421052631578947,2.2777777777777777,1.7073170731707317,1.608695652173913,2.255813953488372,2.189189189189189,1.1147540983606556,2.5806451612903225,1.9230769230769231,1.2549019607843137,1.3076923076923077,2.0,2.3076923076923075,2.7419354838709675,2.5714285714285716,1.9286866142493098,0.49442575643664266
Average Pellets per Meal (Day),2.4642857142857144,2.0425531914893615,2.5,1.425,2.761904761904762,2.0434782608695654,2.2777777777777777,4.0,1.7413793103448276,1.309090909090909,3.764705882352941,1.6097560975609757,1.7450980392156863,1.5135135135135136,3.3157894736842106,2.892857142857143,4.411764705882353,3.2,2.5010530433794305,0.9341884835854679
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,403.0,1939.0,717.0,2132.0,566.0,477.0,812.0,782.0,2085.0,1312.0,660.0,1476.0,992.0,1875.0,488.0,896.0,698.0,438.0,1041.5555555555557,602.7268645104633
Total Pokes (Night),156.0,1249.0,456.0,1123.0,430.0,350.0,581.0,610.0,733.0,675.0,482.0,747.0,528.0,1180.0,371.0,648.0,432.0,320.0,615.0555555555555,303.13877082795756
Total Pokes (Day),246.0,689.0,260.0,1008.0,135.0,126.0,231.0,171.0,1351.0,636.0,177.0,729.0,463.0,694.0,116.0,248.0,265.0,117.0,425.6666666666667,353.26144292693976
Correct Pokes (%),0.008337468982630273,0.009840123775141825,0.008800557880055787,0.009817073170731707,0.009363957597173145,0.009371069182389937,0.009679802955665024,0.00962915601023018,0.00981294964028777,0.009839939024390244,0.009681818181818182,0.009789972899728997,0.009606854838709678,0.009248,0.009651639344262296,0.0096875,0.009126074498567335,0.009680365296803653,0.009498017959921447,0.00040417311007536166
Correct Pokes (%) (Night),71.7948717948718,98.63891112890312,90.78947368421053,96.79430097951915,94.18604651162791,94.57142857142857,96.72977624784855,96.72131147540983,96.31650750341065,97.48148148148148,97.30290456431536,97.32262382864792,95.07575757575758,90.08474576271186,95.95687331536388,96.29629629629629,88.42592592592592,96.25,93.92995759154059,6.1786653494504
Correct Pokes (%) (Day),91.46341463414635,98.4034833091437,84.23076923076923,100.0,94.07407407407408,93.65079365079364,97.83549783549783,96.49122807017544,99.3338267949667,99.68553459119497,96.61016949152543,98.90260631001372,97.8401727861771,96.97406340057637,100.86206896551724,99.19354838709677,96.98113207547169,100.85470085470085,96.85483802565784,4.034820672722473
Recording Duration (Hours),24.081944444444446,23.746666666666666,23.990555555555556,23.71527777777778,22.785555555555554,24.486944444444443,25.178333333333335,21.92888888888889,25.182222222222222,22.449166666666667,25.016666666666666,23.944444444444443,24.6,23.196666666666665,24.614444444444445,24.629444444444445,25.215,21.738333333333333,23.916697530864198,1.1015224984231589
Battery Change (V),-0.04999999999999982,-0.0600000000000005,-0.040000000000000036,-0.04999999999999982,-0.05999999999999961,-0.03000000000000025,-0.040000000000000036,-0.009999999999999787,-0.05999999999999961,-0.03999999999999959,-0.029999999999999805,-0.07000000000000028,-0.03000000000000025,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,-0.05999999999999961,-0.020000000000000462,-0.042777777777777755,0.015645166724265476
Battery Rate (V/hour),-0.0020762443047465176,-0.0025266704098821095,-0.0016673227890605113,-0.00210834553440702,-0.0026332471838884115,-0.0012251426497113076,-0.0015886675051300734,-0.00045601945683014836,-0.002382633250970687,-0.0017818033334570515,-0.0011992005329780069,-0.002923433874709989,-0.0012195121951219612,-0.0017243856875987945,-0.0016250620683428895,-0.001624072361446328,-0.0023795359904818405,-0.0009200337345702888,-0.0017811851590741076,0.0006446007577023135
Motor Turns (Mean),1.404040404040404,1.6586538461538463,1.1384615384615384,1.5871559633027523,1.4539007092198581,1.8305084745762712,1.585987261146497,2.0253164556962027,1.169398907103825,2.3191489361702127,1.4551724137931035,1.528169014084507,1.422077922077922,1.2407407407407407,1.5161290322580645,1.4651162790697674,2.347826086956522,1.6906474820143884,1.6021361926036901,0.3423663411729242
Motor Turns (Median),1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.2777777777777777,0.46088859896247675
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05555555555555555,0.23570226039551584
