MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/7/2024 18:32:03,1.16.3,PRexp,10,3.67,nan,1,Left,Left,9,1,5,0,nan,nan,0.44
2/7/2024 18:32:06,1.16.3,PRexp,10,3.67,2,1,Pellet,Left,9,1,6,1,0.06,2962,nan
2/7/2024 18:32:44,1.16.3,PRexp,10,3.69,nan,1,Left,Left,10,1,6,1,nan,nan,0.08
2/7/2024 18:32:44,1.16.3,PRexp,10,3.67,nan,1,LeftDuringDispense,Left,11,1,6,2,nan,nan,0.02
2/7/2024 18:32:47,1.16.3,PRexp,10,3.68,nan,1,LeftDuringDispense,Left,12,1,6,2,nan,nan,0.19
2/7/2024 18:32:50,1.16.3,PRexp,10,3.68,3,1,Pellet,Left,12,1,7,2,0.06,43,nan
2/7/2024 18:33:10,1.16.3,PRexp,10,3.67,nan,2,Left,Left,13,1,7,2,nan,nan,0.09
2/7/2024 18:33:14,1.16.3,PRexp,10,3.67,nan,2,Left,Left,14,1,7,2,nan,nan,0.10
2/7/2024 18:33:14,1.16.3,PRexp,10,3.69,nan,2,LeftDuringDispense,Left,15,1,7,3,nan,nan,0.03
2/7/2024 18:33:17,1.16.3,PRexp,10,3.66,2,2,Pellet,Left,15,1,8,3,0.06,28,nan
2/7/2024 18:33:34,1.16.3,PRexp,10,3.68,nan,2,Left,Left,16,1,8,3,nan,nan,0.04
2/7/2024 18:33:37,1.16.3,PRexp,10,3.68,nan,2,Left,Left,17,1,8,3,nan,nan,0.12
2/7/2024 18:33:37,1.16.3,PRexp,10,3.69,1,2,Pellet,Left,17,1,9,4,0.06,20,nan
2/7/2024 18:33:54,1.16.3,PRexp,10,3.67,nan,3,Left,Left,18,1,9,4,nan,nan,0.12
2/7/2024 18:33:55,1.16.3,PRexp,10,3.69,nan,3,Left,Left,19,1,9,4,nan,nan,0.03
2/7/2024 18:34:06,1.16.3,PRexp,10,3.67,nan,3,Left,Left,20,1,9,4,nan,nan,0.12
2/7/2024 18:34:06,1.16.3,PRexp,10,3.69,1,3,Pellet,Left,20,1,10,5,0.06,29,nan
2/7/2024 19:21:46,1.16.3,PRexp,10,3.68,nan,1,Right,Left,20,2,10,0,nan,nan,0.16
2/7/2024 19:22:00,1.16.3,PRexp,10,3.68,nan,1,Left,Left,21,2,10,0,nan,nan,0.32
2/7/2024 19:22:01,1.16.3,PRexp,10,3.68,1,1,Pellet,Left,21,2,11,1,0.06,2875,nan
2/7/2024 19:22:17,1.16.3,PRexp,10,3.67,nan,1,Left,Left,22,2,11,1,nan,nan,0.07
2/7/2024 19:22:17,1.16.3,PRexp,10,3.68,nan,1,LeftDuringDispense,Left,23,2,11,2,nan,nan,0.02
2/7/2024 19:22:20,1.16.3,PRexp,10,3.67,2,1,Pellet,Left,23,2,12,2,0.06,19,nan
2/7/2024 19:22:36,1.16.3,PRexp,10,3.68,nan,2,Left,Left,24,2,12,2,nan,nan,0.16
2/7/2024 19:22:37,1.16.3,PRexp,10,3.69,nan,2,Left,Left,25,2,12,2,nan,nan,0.03
2/7/2024 19:22:38,1.16.3,PRexp,10,3.67,1,2,Pellet,Left,25,2,13,3,0.06,18,nan
2/7/2024 19:22:49,1.16.3,PRexp,10,3.68,nan,2,Left,Left,26,2,13,3,nan,nan,0.18
2/7/2024 19:22:49,1.16.3,PRexp,10,3.67,nan,2,Left,Left,27,2,13,3,nan,nan,0.00
2/7/2024 19:22:50,1.16.3,PRexp,10,3.67,1,2,Pellet,Left,27,2,14,4,0.06,12,nan
2/7/2024 19:23:09,1.16.3,PRexp,10,3.68,nan,3,Left,Left,28,2,14,4,nan,nan,0.08
2/7/2024 19:36:52,1.16.3,PRexp,10,3.67,nan,3,Left,Left,29,2,14,4,nan,nan,0.88
2/7/2024 19:36:58,1.16.3,PRexp,10,3.69,nan,3,Left,Left,30,2,14,4,nan,nan,0.35
2/7/2024 19:36:59,1.16.3,PRexp,10,3.69,1,3,Pellet,Left,30,2,15,5,0.06,849,nan
2/7/2024 19:37:32,1.16.3,PRexp,10,3.69,nan,4,Left,Left,31,2,15,5,nan,nan,0.07
2/7/2024 19:37:33,1.16.3,PRexp,10,3.68,nan,4,Left,Left,32,2,15,5,nan,nan,0.07
2/7/2024 19:37:34,1.16.3,PRexp,10,3.69,nan,4,Left,Left,33,2,15,5,nan,nan,0.07
2/7/2024 19:37:37,1.16.3,PRexp,10,3.68,nan,4,Left,Left,34,2,15,5,nan,nan,1.15
2/7/2024 19:37:38,1.16.3,PRexp,10,3.68,1,4,Pellet,Left,34,2,16,6,0.06,39,nan
2/7/2024 19:37:59,1.16.3,PRexp,10,3.68,nan,5,Left,Left,35,2,16,6,nan,nan,0.68
2/7/2024 19:38:00,1.16.3,PRexp,10,3.68,nan,5,Left,Left,36,2,16,6,nan,nan,0.08
2/7/2024 19:38:05,1.16.3,PRexp,10,3.67,nan,5,Left,Left,37,2,16,6,nan,nan,0.53
2/7/2024 19:38:07,1.16.3,PRexp,10,3.68,nan,5,Left,Left,38,2,16,6,nan,nan,0.40
2/7/2024 19:38:11,1.16.3,PRexp,10,3.68,nan,5,Left,Left,39,2,16,6,nan,nan,0.18
2/7/2024 19:38:12,1.16.3,PRexp,10,3.68,1,5,Pellet,Left,39,2,17,7,0.06,34,nan
2/7/2024 19:40:06,1.16.3,PRexp,10,3.68,nan,6,Right,Left,39,3,17,7,nan,nan,0.13
2/7/2024 20:05:00,1.16.3,PRexp,10,3.68,nan,6,Left,Left,40,3,17,7,nan,nan,0.06
2/7/2024 20:05:02,1.16.3,PRexp,10,3.69,nan,6,Left,Left,41,3,17,7,nan,nan,0.06
2/7/2024 20:05:03,1.16.3,PRexp,10,3.68,nan,6,Left,Left,42,3,17,7,nan,nan,0.06
2/7/2024 20:05:06,1.16.3,PRexp,10,3.69,nan,6,Left,Left,43,3,17,7,nan,nan,0.88
2/7/2024 20:05:08,1.16.3,PRexp,10,3.68,nan,6,Left,Left,44,3,17,7,nan,nan,0.98
2/7/2024 20:05:10,1.16.3,PRexp,10,3.67,nan,6,Left,Left,45,3,17,7,nan,nan,0.07
2/7/2024 20:05:10,1.16.3,PRexp,10,3.69,nan,6,LeftDuringDispense,Left,46,3,17,8,nan,nan,0.03
2/7/2024 20:05:13,1.16.3,PRexp,10,3.68,2,6,Pellet,Left,46,3,18,8,0.06,1621,nan
2/7/2024 20:05:48,1.16.3,PRexp,10,3.68,nan,7,Left,Left,47,3,18,8,nan,nan,7.11
2/7/2024 20:05:53,1.16.3,PRexp,10,3.68,nan,7,Left,Left,48,3,18,8,nan,nan,1.19
2/7/2024 20:05:54,1.16.3,PRexp,10,3.69,nan,7,Left,Left,49,3,18,8,nan,nan,0.05
2/7/2024 20:05:56,1.16.3,PRexp,10,3.69,nan,7,Left,Left,50,3,18,8,nan,nan,0.03
2/7/2024 20:05:58,1.16.3,PRexp,10,3.69,nan,7,Left,Left,51,3,18,8,nan,nan,1.08
2/7/2024 20:05:59,1.16.3,PRexp,10,3.68,nan,7,Left,Left,52,3,18,8,nan,nan,0.00
2/7/2024 20:06:01,1.16.3,PRexp,10,3.69,nan,7,Left,Left,53,3,18,8,nan,nan,0.46
2/7/2024 20:06:03,1.16.3,PRexp,10,3.68,2,7,Pellet,Left,53,3,19,9,0.06,50,nan
2/7/2024 20:13:26,1.16.3,PRexp,10,3.68,nan,9,Left,Left,54,3,19,9,nan,nan,0.06
2/7/2024 20:13:29,1.16.3,PRexp,10,3.69,nan,9,Left,Left,55,3,19,9,nan,nan,0.68
2/7/2024 20:13:31,1.16.3,PRexp,10,3.69,nan,9,Left,Left,56,3,19,9,nan,nan,0.53
2/7/2024 20:13:33,1.16.3,PRexp,10,3.68,nan,9,Left,Left,57,3,19,9,nan,nan,0.12
2/7/2024 20:13:34,1.16.3,PRexp,10,3.69,nan,9,Left,Left,58,3,19,9,nan,nan,0.00
2/7/2024 20:13:36,1.16.3,PRexp,10,3.68,nan,9,Left,Left,59,3,19,9,nan,nan,0.09
2/7/2024 20:13:38,1.16.3,PRexp,10,3.66,nan,9,Left,Left,60,3,19,9,nan,nan,0.01
2/7/2024 20:13:41,1.16.3,PRexp,10,3.67,nan,9,Left,Left,61,3,19,9,nan,nan,0.82
2/7/2024 20:13:43,1.16.3,PRexp,10,3.68,nan,9,Left,Left,62,3,19,9,nan,nan,1.06
2/7/2024 20:13:43,1.16.3,PRexp,10,3.69,1,9,Pellet,Left,62,3,20,10,0.06,460,nan
2/7/2024 20:14:36,1.16.3,PRexp,10,3.68,nan,10,Left,Left,63,3,20,10,nan,nan,1.35
2/7/2024 20:20:57,1.16.3,PRexp,10,3.69,nan,10,Left,Left,64,3,20,10,nan,nan,0.09
2/7/2024 20:20:59,1.16.3,PRexp,10,3.68,nan,10,Left,Left,65,3,20,10,nan,nan,0.69
