MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
5/3/2023 18:32:06,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,5,5,0,nan,nan,0.58
5/3/2023 18:32:14,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,6,5,0,nan,nan,1.11
5/3/2023 18:32:30,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,7,5,0,nan,nan,0.04
5/3/2023 18:32:41,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,8,5,0,nan,nan,0.45
5/3/2023 18:34:55,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,9,5,0,nan,nan,0.54
5/3/2023 19:19:13,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,10,5,0,nan,nan,0.37
5/3/2023 19:20:45,1.16.3,PRexp,1,4.18,nan,1,Right,Left,11,11,5,0,nan,nan,0.18
5/3/2023 19:22:59,1.16.3,PRexp,1,4.18,nan,1,Left,Left,12,11,5,0,nan,nan,0.34
5/3/2023 19:23:02,1.16.3,PRexp,1,4.18,1,1,Pellet,Left,12,11,6,1,2.93,6833,nan
5/3/2023 19:23:32,1.16.3,PRexp,1,4.18,nan,1,Left,Left,13,11,6,1,nan,nan,0.05
5/3/2023 19:23:33,1.16.3,PRexp,1,4.18,1,1,Pellet,Left,13,11,7,2,0.47,31,nan
5/3/2023 19:23:53,1.16.3,PRexp,1,4.18,nan,2,Left,Left,14,11,7,2,nan,nan,0.13
5/3/2023 19:23:55,1.16.3,PRexp,1,4.18,nan,2,Left,Left,15,11,7,2,nan,nan,0.33
5/3/2023 19:23:56,1.16.3,PRexp,1,4.18,1,2,Pellet,Left,15,11,8,3,0.06,23,nan
5/3/2023 19:24:21,1.16.3,PRexp,1,4.18,nan,2,Left,Left,16,11,8,3,nan,nan,0.24
5/3/2023 19:24:22,1.16.3,PRexp,1,4.18,nan,2,Left,Left,17,11,8,3,nan,nan,0.00
5/3/2023 19:24:23,1.16.3,PRexp,1,4.18,1,2,Pellet,Left,17,11,9,4,0.27,27,nan
5/3/2023 19:24:46,1.16.3,PRexp,1,4.18,nan,3,Left,Left,18,11,9,4,nan,nan,0.33
5/3/2023 19:24:48,1.16.3,PRexp,1,4.18,nan,3,Left,Left,19,11,9,4,nan,nan,0.18
5/3/2023 19:24:49,1.16.3,PRexp,1,4.18,nan,3,Left,Left,20,11,9,4,nan,nan,0.00
5/3/2023 19:24:50,1.16.3,PRexp,1,4.18,2,3,Pellet,Left,20,11,10,5,0.06,27,nan
5/3/2023 19:25:15,1.16.3,PRexp,1,4.18,nan,4,Left,Left,21,11,10,5,nan,nan,0.23
5/3/2023 19:25:17,1.16.3,PRexp,1,4.18,nan,4,Left,Left,22,11,10,5,nan,nan,0.48
5/3/2023 19:25:18,1.16.3,PRexp,1,4.18,nan,4,Left,Left,23,11,10,5,nan,nan,0.41
5/3/2023 19:25:20,1.16.3,PRexp,1,4.18,nan,4,Left,Left,24,11,10,5,nan,nan,0.45
5/3/2023 19:25:21,1.16.3,PRexp,1,4.18,1,4,Pellet,Left,24,11,11,6,0.13,30,nan
5/3/2023 19:25:48,1.16.3,PRexp,1,4.18,nan,5,Left,Left,25,11,11,6,nan,nan,0.44
5/3/2023 19:25:50,1.16.3,PRexp,1,4.18,nan,5,Left,Left,26,11,11,6,nan,nan,0.11
5/3/2023 19:25:51,1.16.3,PRexp,1,4.18,nan,5,Left,Left,27,11,11,6,nan,nan,0.42
5/3/2023 19:25:54,1.16.3,PRexp,1,4.18,nan,5,Left,Left,28,11,11,6,nan,nan,0.17
5/3/2023 19:25:55,1.16.3,PRexp,1,4.18,nan,5,Left,Left,29,11,11,6,nan,nan,0.02
5/3/2023 19:26:31,1.16.3,PRexp,1,4.18,2,5,Pellet,Left,29,11,12,7,33.17,71,nan
5/3/2023 19:27:27,1.16.3,PRexp,1,4.18,nan,6,Left,Left,30,11,12,7,nan,nan,0.10
5/3/2023 19:27:35,1.16.3,PRexp,1,4.18,nan,6,Left,Left,31,11,12,7,nan,nan,0.51
5/3/2023 19:27:37,1.16.3,PRexp,1,4.18,nan,6,Left,Left,32,11,12,7,nan,nan,0.31
5/3/2023 19:27:38,1.16.3,PRexp,1,4.18,nan,6,Left,Left,33,11,12,7,nan,nan,0.08
5/3/2023 19:27:40,1.16.3,PRexp,1,4.18,nan,6,Left,Left,34,11,12,7,nan,nan,0.58
5/3/2023 19:27:42,1.16.3,PRexp,1,4.18,nan,6,Left,Left,35,11,12,7,nan,nan,0.17
5/3/2023 19:27:43,1.16.3,PRexp,1,4.18,1,6,Pellet,Left,35,11,13,8,0.47,72,nan
5/3/2023 19:28:10,1.16.3,PRexp,1,4.18,nan,7,Left,Left,36,11,13,8,nan,nan,0.95
5/3/2023 19:28:12,1.16.3,PRexp,1,4.18,nan,7,Left,Left,37,11,13,8,nan,nan,0.20
5/3/2023 19:28:20,1.16.3,PRexp,1,4.18,nan,7,Left,Left,38,11,13,8,nan,nan,0.15
5/3/2023 19:28:52,1.16.3,PRexp,1,4.18,nan,7,Right,Left,38,12,13,8,nan,nan,3.07
5/3/2023 19:28:55,1.16.3,PRexp,1,4.18,nan,7,Right,Left,38,13,13,8,nan,nan,1.46
5/3/2023 19:28:57,1.16.3,PRexp,1,4.18,nan,7,Right,Left,38,14,13,8,nan,nan,0.59
5/3/2023 19:29:42,1.16.3,PRexp,1,4.18,nan,7,Left,Left,39,14,13,8,nan,nan,0.21
5/3/2023 19:29:43,1.16.3,PRexp,1,4.18,nan,7,Left,Left,40,14,13,8,nan,nan,0.26
5/3/2023 19:29:44,1.16.3,PRexp,1,4.18,nan,7,Left,Left,41,14,13,8,nan,nan,0.13
5/3/2023 19:29:48,1.16.3,PRexp,1,4.18,nan,7,Left,Left,42,14,13,8,nan,nan,0.06
5/3/2023 19:29:49,1.16.3,PRexp,1,4.18,1,7,Pellet,Left,42,14,14,9,0.27,126,nan
5/3/2023 20:25:23,1.16.3,PRexp,1,4.18,nan,1,Left,Left,43,14,14,0,nan,nan,0.12
5/3/2023 20:25:24,1.16.3,PRexp,1,4.18,1,1,Pellet,Left,43,14,15,1,0.47,3335,nan
5/3/2023 20:25:44,1.16.3,PRexp,1,4.18,nan,1,Left,Left,44,14,15,1,nan,nan,0.05
5/3/2023 20:25:46,1.16.3,PRexp,1,4.18,1,1,Pellet,Left,44,14,16,2,0.34,22,nan
5/3/2023 20:26:25,1.16.3,PRexp,1,4.18,nan,2,Left,Left,45,14,16,2,nan,nan,0.22
5/3/2023 20:26:27,1.16.3,PRexp,1,4.18,nan,2,Left,Left,46,14,16,2,nan,nan,0.16
5/3/2023 20:26:28,1.16.3,PRexp,1,4.18,1,2,Pellet,Left,46,14,17,3,0.27,42,nan
5/3/2023 20:27:00,1.16.3,PRexp,1,4.18,nan,2,Left,Left,47,14,17,3,nan,nan,0.40
5/3/2023 20:27:01,1.16.3,PRexp,1,4.18,nan,2,Left,Left,48,14,17,3,nan,nan,0.13
