MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/8/2024 18:09:33,1.16.3,PRexp,2,4.03,nan,1,Right,Left,0,1,0,0,nan,nan,0.17
2/8/2024 18:09:53,1.16.3,PRexp,2,4.03,nan,1,Right,Left,0,2,0,0,nan,nan,0.18
2/8/2024 18:51:07,1.16.3,PRexp,2,4.03,nan,1,Left,Left,1,2,0,0,nan,nan,0.05
2/8/2024 18:51:08,1.16.3,PRexp,2,4.03,1,1,Pellet,Left,1,2,1,1,0.54,nan,nan
2/8/2024 18:51:21,1.16.3,PRexp,2,4.03,nan,1,Left,Left,2,2,1,1,nan,nan,0.11
2/8/2024 18:51:23,1.16.3,PRexp,2,4.03,1,1,Pellet,Left,2,2,2,2,0.40,14,nan
2/8/2024 18:51:39,1.16.3,PRexp,2,4.03,nan,2,Left,Left,3,2,2,2,nan,nan,0.30
2/8/2024 18:51:41,1.16.3,PRexp,2,4.03,nan,2,Left,Left,4,2,2,2,nan,nan,0.09
2/8/2024 18:51:44,1.16.3,PRexp,2,4.03,2,2,Pellet,Left,4,2,3,3,0.06,22,nan
2/8/2024 18:51:54,1.16.3,PRexp,2,4.03,nan,2,Left,Left,5,2,3,3,nan,nan,0.07
2/8/2024 18:51:55,1.16.3,PRexp,2,4.03,nan,2,Left,Left,6,2,3,3,nan,nan,0.02
2/8/2024 18:51:56,1.16.3,PRexp,2,4.03,nan,2,LeftDuringDispense,Left,7,2,3,4,nan,nan,0.08
2/8/2024 18:52:05,1.16.3,PRexp,2,4.03,3,2,Pellet,Left,7,2,4,4,6.90,21,nan
2/8/2024 18:52:28,1.16.3,PRexp,2,4.03,nan,3,Left,Left,8,2,4,4,nan,nan,0.41
2/8/2024 18:52:29,1.16.3,PRexp,2,4.03,nan,3,Left,Left,9,2,4,4,nan,nan,0.00
2/8/2024 18:52:30,1.16.3,PRexp,2,4.03,nan,3,Left,Left,10,2,4,4,nan,nan,0.29
2/8/2024 18:52:31,1.16.3,PRexp,2,4.03,1,3,Pellet,Left,10,2,5,5,0.06,26,nan
2/8/2024 18:52:57,1.16.3,PRexp,2,4.03,nan,4,Left,Left,11,2,5,5,nan,nan,0.27
2/8/2024 18:52:58,1.16.3,PRexp,2,4.03,nan,4,Left,Left,12,2,5,5,nan,nan,0.00
2/8/2024 18:53:02,1.16.3,PRexp,2,4.03,nan,4,Left,Left,13,2,5,5,nan,nan,0.37
2/8/2024 18:53:03,1.16.3,PRexp,2,4.03,nan,4,Left,Left,14,2,5,5,nan,nan,0.06
2/8/2024 18:53:04,1.16.3,PRexp,2,4.03,1,4,Pellet,Left,14,2,6,6,0.27,33,nan
2/8/2024 18:53:39,1.16.3,PRexp,2,4.03,nan,5,Left,Left,15,2,6,6,nan,nan,0.21
2/8/2024 18:53:41,1.16.3,PRexp,2,4.03,nan,5,Left,Left,16,2,6,6,nan,nan,0.03
2/8/2024 18:53:43,1.16.3,PRexp,2,4.03,nan,5,Left,Left,17,2,6,6,nan,nan,0.33
2/8/2024 18:53:45,1.16.3,PRexp,2,4.03,nan,5,Left,Left,18,2,6,6,nan,nan,0.32
2/8/2024 18:53:46,1.16.3,PRexp,2,4.02,nan,5,Left,Left,19,2,6,6,nan,nan,0.07
2/8/2024 18:53:49,1.16.3,PRexp,2,4.03,3,5,Pellet,Left,19,2,7,7,0.13,45,nan
2/8/2024 18:55:24,1.16.3,PRexp,2,4.03,nan,6,Left,Left,20,2,7,7,nan,nan,0.07
2/8/2024 18:55:26,1.16.3,PRexp,2,4.03,nan,6,Left,Left,21,2,7,7,nan,nan,0.05
2/8/2024 18:55:28,1.16.3,PRexp,2,4.02,nan,6,Left,Left,22,2,7,7,nan,nan,0.09
2/8/2024 18:55:29,1.16.3,PRexp,2,4.03,nan,6,Left,Left,23,2,7,7,nan,nan,0.09
2/8/2024 18:55:32,1.16.3,PRexp,2,4.03,nan,6,Left,Left,24,2,7,7,nan,nan,0.08
2/8/2024 18:55:33,1.16.3,PRexp,2,4.03,nan,6,Left,Left,25,2,7,7,nan,nan,0.06
2/8/2024 18:55:34,1.16.3,PRexp,2,4.02,2,6,Pellet,Left,25,2,8,8,0.06,105,nan
2/8/2024 18:56:26,1.16.3,PRexp,2,4.03,nan,7,Left,Left,26,2,8,8,nan,nan,0.10
2/8/2024 18:56:27,1.16.3,PRexp,2,4.03,nan,7,Left,Left,27,2,8,8,nan,nan,0.08
2/8/2024 18:56:29,1.16.3,PRexp,2,4.02,nan,7,Left,Left,28,2,8,8,nan,nan,0.30
2/8/2024 18:56:30,1.16.3,PRexp,2,4.03,nan,7,Left,Left,29,2,8,8,nan,nan,0.27
2/8/2024 18:56:31,1.16.3,PRexp,2,4.03,nan,7,Left,Left,30,2,8,8,nan,nan,0.09
2/8/2024 18:56:32,1.16.3,PRexp,2,4.03,nan,7,Left,Left,31,2,8,8,nan,nan,0.04
2/8/2024 18:56:33,1.16.3,PRexp,2,4.03,nan,7,Left,Left,32,2,8,8,nan,nan,0.38
2/8/2024 18:56:35,1.16.3,PRexp,2,4.03,2,7,Pellet,Left,32,2,9,9,0.34,61,nan
2/8/2024 19:30:55,1.16.3,PRexp,2,4.03,nan,1,Left,Left,33,2,9,0,nan,nan,0.08
2/8/2024 19:30:57,1.16.3,PRexp,2,4.03,1,1,Pellet,Left,33,2,10,1,0.61,2061,nan
2/8/2024 19:31:14,1.16.3,PRexp,2,4.03,nan,1,Left,Left,34,2,10,1,nan,nan,0.31
2/8/2024 19:31:14,1.16.3,PRexp,2,4.02,nan,1,LeftDuringDispense,Left,35,2,10,2,nan,nan,0.03
2/8/2024 19:31:30,1.16.3,PRexp,2,4.02,3,1,Pellet,Left,35,2,11,2,10.25,33,nan
2/8/2024 19:31:48,1.16.3,PRexp,2,4.03,nan,2,Left,Left,36,2,11,2,nan,nan,0.14
2/8/2024 19:31:48,1.16.3,PRexp,2,4.02,nan,2,Left,Left,37,2,11,2,nan,nan,0.00
2/8/2024 19:31:49,1.16.3,PRexp,2,4.02,2,2,Pellet,Left,37,2,12,3,0.06,20,nan
2/8/2024 19:32:01,1.16.3,PRexp,2,4.03,nan,2,Left,Left,38,2,12,3,nan,nan,0.56
2/8/2024 19:32:02,1.16.3,PRexp,2,4.03,nan,2,Left,Left,39,2,12,3,nan,nan,0.03
2/8/2024 19:32:05,1.16.3,PRexp,2,4.02,2,2,Pellet,Left,39,2,13,4,0.13,16,nan
2/8/2024 19:32:24,1.16.3,PRexp,2,4.03,nan,3,Left,Left,40,2,13,4,nan,nan,0.19
2/8/2024 19:32:26,1.16.3,PRexp,2,4.03,nan,3,Left,Left,41,2,13,4,nan,nan,0.08
2/8/2024 19:32:28,1.16.3,PRexp,2,4.03,nan,3,Left,Left,42,2,13,4,nan,nan,0.30
2/8/2024 19:32:29,1.16.3,PRexp,2,4.02,1,3,Pellet,Left,42,2,14,5,0.13,24,nan
2/8/2024 19:32:35,1.16.3,PRexp,2,4.02,nan,4,Left,Left,43,2,14,5,nan,nan,0.00
2/8/2024 19:32:51,1.16.3,PRexp,2,4.03,nan,4,Left,Left,44,2,14,5,nan,nan,0.81
2/8/2024 19:32:52,1.16.3,PRexp,2,4.03,nan,4,Left,Left,45,2,14,5,nan,nan,0.17
2/8/2024 19:32:54,1.16.3,PRexp,2,4.03,nan,4,Left,Left,46,2,14,5,nan,nan,0.07
2/8/2024 19:32:54,1.16.3,PRexp,2,4.03,nan,4,LeftDuringDispense,Left,47,2,14,6,nan,nan,0.08
2/8/2024 19:33:07,1.16.3,PRexp,2,4.02,3,4,Pellet,Left,47,2,15,6,9.91,38,nan
2/8/2024 19:55:36,1.16.3,PRexp,2,4.02,nan,5,Left,Left,48,2,15,6,nan,nan,0.18
2/8/2024 19:55:38,1.16.3,PRexp,2,4.02,nan,5,Left,Left,49,2,15,6,nan,nan,0.03
2/8/2024 19:55:39,1.16.3,PRexp,2,4.02,nan,5,Left,Left,50,2,15,6,nan,nan,0.12
2/8/2024 19:55:41,1.16.3,PRexp,2,4.03,nan,5,Left,Left,51,2,15,6,nan,nan,0.03
2/8/2024 19:55:43,1.16.3,PRexp,2,4.03,nan,5,Left,Left,52,2,15,6,nan,nan,0.08
2/8/2024 19:55:44,1.16.3,PRexp,2,4.02,2,5,Pellet,Left,52,2,16,7,0.06,1357,nan
2/8/2024 19:56:11,1.16.3,PRexp,2,4.02,nan,6,Left,Left,53,2,16,7,nan,nan,0.41
2/8/2024 19:56:12,1.16.3,PRexp,2,4.03,nan,6,Left,Left,54,2,16,7,nan,nan,0.00
2/8/2024 19:56:13,1.16.3,PRexp,2,4.02,nan,6,Left,Left,55,2,16,7,nan,nan,0.11
2/8/2024 19:56:14,1.16.3,PRexp,2,4.02,nan,6,Left,Left,56,2,16,7,nan,nan,0.28
