MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
1/17/2024 17:13:59,1.16.3,PRexp,2,3.76,nan,1,Left,Left,1,0,0,0,nan,nan,0.77
1/17/2024 17:14:00,1.16.3,PRexp,2,3.76,2,1,Pellet,Left,1,0,1,1,0.40,nan,nan
1/17/2024 17:24:58,1.16.3,PRexp,2,3.76,nan,1,Left,Left,2,0,1,1,nan,nan,0.23
1/17/2024 17:25:01,1.16.3,PRexp,2,3.75,2,1,Pellet,Left,2,0,2,2,0.20,661,nan
1/17/2024 17:26:08,1.16.3,PRexp,2,3.75,nan,2,Left,Left,3,0,2,2,nan,nan,0.19
1/17/2024 17:32:06,1.16.3,PRexp,2,3.75,nan,2,Left,Left,4,0,2,2,nan,nan,0.06
1/17/2024 17:32:07,1.16.3,PRexp,2,3.76,2,2,Pellet,Left,4,0,3,3,0.20,426,nan
1/17/2024 18:05:29,1.16.3,PRexp,2,3.76,nan,1,Left,Left,5,0,3,0,nan,nan,0.06
1/17/2024 18:05:45,1.16.3,PRexp,2,3.76,4,1,Pellet,Left,5,0,4,1,10.93,2018,nan
1/17/2024 18:06:11,1.16.3,PRexp,2,3.76,nan,1,Left,Left,6,0,4,1,nan,nan,0.06
1/17/2024 18:06:12,1.16.3,PRexp,2,3.75,2,1,Pellet,Left,6,0,5,2,0.06,27,nan
1/17/2024 18:06:43,1.16.3,PRexp,2,3.75,nan,2,Left,Left,7,0,5,2,nan,nan,0.09
1/17/2024 18:06:45,1.16.3,PRexp,2,3.75,nan,2,Left,Left,8,0,5,2,nan,nan,0.29
1/17/2024 18:06:46,1.16.3,PRexp,2,3.76,2,2,Pellet,Left,8,0,6,3,0.06,34,nan
1/17/2024 18:34:35,1.16.3,PRexp,2,3.75,nan,2,Left,Left,9,0,6,3,nan,nan,0.21
1/17/2024 18:34:38,1.16.3,PRexp,2,3.75,nan,2,Left,Left,10,0,6,3,nan,nan,0.05
1/17/2024 18:34:39,1.16.3,PRexp,2,3.76,1,2,Pellet,Left,10,0,7,4,0.27,1673,nan
1/17/2024 18:35:16,1.16.3,PRexp,2,3.73,nan,3,Left,Left,11,0,7,4,nan,nan,0.33
1/17/2024 18:35:27,1.16.3,PRexp,2,3.75,nan,3,Left,Left,12,0,7,4,nan,nan,0.26
