MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-03-30 19:00:23,1.17.0,PRexp,4,3.94,,2,Left,Left,5,0,3,3,,,0.25
2024-03-30 19:00:25,1.17.0,PRexp,4,3.94,,2,Left,Left,6,0,3,3,,,0.29
2024-03-30 19:00:49,1.17.0,PRexp,4,3.94,2.0,2,Pellet,Left,6,0,4,4,20.23,54.0,
2024-03-30 19:01:11,1.17.0,PRexp,4,3.94,,3,Left,Left,7,0,4,4,,,0.08
2024-03-30 19:01:28,1.17.0,PRexp,4,3.94,,3,Left,Left,8,0,4,4,,,0.09
2024-03-30 19:02:00,1.17.0,PRexp,4,3.94,,3,Right,Left,8,1,4,4,,,0.13
2024-03-30 19:02:03,1.17.0,PRexp,4,3.94,,3,Left,Left,9,1,4,4,,,0.14
2024-03-30 19:02:19,1.17.0,PRexp,4,3.94,3.0,3,Pellet,Left,9,1,5,5,9.02,89.0,
2024-03-30 19:03:14,1.17.0,PRexp,4,3.94,,4,Left,Left,10,1,5,5,,,0.12
2024-03-30 19:03:21,1.17.0,PRexp,4,3.94,,4,Left,Left,11,1,5,5,,,0.09
2024-03-30 19:03:24,1.17.0,PRexp,4,3.94,,4,Left,Left,12,1,5,5,,,0.17
2024-03-30 19:03:25,1.17.0,PRexp,4,3.94,,4,Left,Left,13,1,5,5,,,0.07
2024-03-30 19:03:28,1.17.0,PRexp,4,3.94,2.0,4,Pellet,Left,13,1,6,6,0.06,70.0,
2024-03-30 19:03:56,1.17.0,PRexp,4,3.94,,5,Right,Left,13,2,6,6,,,0.26
2024-03-30 19:03:57,1.17.0,PRexp,4,3.94,,5,Left,Left,14,2,6,6,,,0.07
2024-03-30 19:03:59,1.17.0,PRexp,4,3.94,,5,Left,Left,15,2,6,6,,,0.07
2024-03-30 19:04:02,1.17.0,PRexp,4,3.94,,5,Left,Left,16,2,6,6,,,0.06
2024-03-30 19:04:03,1.17.0,PRexp,4,3.94,,5,Left,Left,17,2,6,6,,,0.1
2024-03-30 19:04:12,1.17.0,PRexp,4,3.94,,5,Left,Left,18,2,6,6,,,0.04
2024-03-30 19:04:30,1.17.0,PRexp,4,3.94,2.0,5,Pellet,Left,18,2,7,7,14.02,62.0,
2024-03-30 19:05:08,1.17.0,PRexp,4,3.94,,6,Left,Left,19,2,7,7,,,0.09
2024-03-30 19:05:10,1.17.0,PRexp,4,3.94,,6,Left,Left,20,2,7,7,,,0.41
2024-03-30 19:05:13,1.17.0,PRexp,4,3.94,,6,Left,Left,21,2,7,7,,,0.11
2024-03-30 19:05:15,1.17.0,PRexp,4,3.94,,6,Left,Left,22,2,7,7,,,0.12
2024-03-30 19:05:16,1.17.0,PRexp,4,3.94,,6,Left,Left,23,2,7,7,,,0.13
2024-03-30 19:05:19,1.17.0,PRexp,4,3.94,,6,Left,Left,24,2,7,7,,,0.02
2024-03-30 19:05:30,1.17.0,PRexp,4,3.94,3.0,6,Pellet,Left,24,2,8,8,4.72,60.0,
2024-03-30 19:06:07,1.17.0,PRexp,4,3.94,,7,Left,Left,25,2,8,8,,,0.05
2024-03-30 19:06:08,1.17.0,PRexp,4,3.94,,7,Left,Left,26,2,8,8,,,0.0
2024-03-30 19:06:11,1.17.0,PRexp,4,3.94,,7,Left,Left,27,2,8,8,,,0.75
2024-03-30 19:06:13,1.17.0,PRexp,4,3.94,,7,Left,Left,28,2,8,8,,,0.32
2024-03-30 19:06:16,1.17.0,PRexp,4,3.94,,7,Left,Left,29,2,8,8,,,0.11
2024-03-30 19:06:20,1.17.0,PRexp,4,3.94,,7,Left,Left,30,2,8,8,,,0.38
2024-03-30 19:06:22,1.17.0,PRexp,4,3.94,,7,Left,Left,31,2,8,8,,,0.1
2024-03-30 19:06:25,1.17.0,PRexp,4,3.94,1.0,7,Pellet,Left,31,2,9,9,0.24,55.0,
2024-03-30 19:06:46,1.17.0,PRexp,4,3.94,,9,Left,Left,32,2,9,9,,,0.11
2024-03-30 19:06:48,1.17.0,PRexp,4,3.94,,9,Left,Left,33,2,9,9,,,0.0
2024-03-30 19:06:50,1.17.0,PRexp,4,3.94,,9,Left,Left,34,2,9,9,,,0.4
2024-03-30 19:06:51,1.17.0,PRexp,4,3.94,,9,Left,Left,35,2,9,9,,,0.0
2024-03-30 19:06:54,1.17.0,PRexp,4,3.94,,9,Left,Left,36,2,9,9,,,0.13
2024-03-30 19:06:56,1.17.0,PRexp,4,3.94,,9,Left,Left,37,2,9,9,,,0.0
2024-03-30 19:06:57,1.17.0,PRexp,4,3.94,,9,Left,Left,38,2,9,9,,,0.1
2024-03-30 19:06:59,1.17.0,PRexp,4,3.94,,9,Left,Left,39,2,9,9,,,0.19
2024-03-30 19:07:03,1.17.0,PRexp,4,3.94,,9,Left,Left,40,2,9,9,,,0.1
2024-03-30 19:07:12,1.17.0,PRexp,4,3.94,2.0,9,Pellet,Left,40,2,10,10,5.03,47.0,
2024-03-30 19:08:00,1.17.0,PRexp,4,3.94,,10,Left,Left,41,2,10,10,,,0.09
2024-03-30 19:09:00,1.17.0,PRexp,4,3.94,,10,Right,Left,41,3,10,10,,,0.3
2024-03-30 19:09:08,1.17.0,PRexp,4,3.94,,10,Left,Left,42,3,10,10,,,0.1
2024-03-30 19:09:09,1.17.0,PRexp,4,3.94,,10,Left,Left,43,3,10,10,,,0.0
2024-03-30 19:09:13,1.17.0,PRexp,4,3.94,,10,Left,Left,44,3,10,10,,,0.1
2024-03-30 19:09:19,1.17.0,PRexp,4,3.94,,10,Right,Left,44,4,10,10,,,0.03
2024-03-30 19:09:21,1.17.0,PRexp,4,3.94,,10,Left,Left,45,4,10,10,,,0.51
2024-03-30 19:09:23,1.17.0,PRexp,4,3.94,,10,Left,Left,46,4,10,10,,,0.19
2024-03-30 19:09:25,1.17.0,PRexp,4,3.94,,10,Left,Left,47,4,10,10,,,0.23
2024-03-30 19:09:28,1.17.0,PRexp,4,3.94,,10,Left,Left,48,4,10,10,,,0.21
2024-03-30 19:09:29,1.17.0,PRexp,4,3.94,,10,Left,Left,49,4,10,10,,,0.2
2024-03-30 19:09:56,1.17.0,PRexp,4,3.94,,10,Left,Left,50,4,10,10,,,0.2
2024-03-30 19:09:58,1.17.0,PRexp,4,3.94,1.0,10,Pellet,Left,50,4,11,11,0.12,166.0,
2024-03-30 19:11:24,1.17.0,PRexp,4,3.94,,12,Left,Left,51,4,11,11,,,0.04
2024-03-30 19:11:26,1.17.0,PRexp,4,3.94,,12,Left,Left,52,4,11,11,,,0.17
2024-03-30 19:11:31,1.17.0,PRexp,4,3.94,,12,Right,Left,52,5,11,11,,,0.28
2024-03-30 19:11:35,1.17.0,PRexp,4,3.94,,12,Left,Left,53,5,11,11,,,0.34
2024-03-30 19:11:45,1.17.0,PRexp,4,3.94,,12,Left,Left,54,5,11,11,,,0.06
2024-03-30 19:11:47,1.17.0,PRexp,4,3.94,,12,Left,Left,55,5,11,11,,,0.44
2024-03-30 19:11:52,1.17.0,PRexp,4,3.94,,12,Left,Left,56,5,11,11,,,0.59
2024-03-30 19:11:54,1.17.0,PRexp,4,3.94,,12,Left,Left,57,5,11,11,,,0.28
2024-03-30 19:11:55,1.17.0,PRexp,4,3.94,,12,Left,Left,58,5,11,11,,,0.2
2024-03-30 19:11:58,1.17.0,PRexp,4,3.94,,12,Left,Left,59,5,11,11,,,0.11
2024-03-30 19:11:59,1.17.0,PRexp,4,3.93,,12,Left,Left,60,5,11,11,,,0.0
2024-03-30 19:12:01,1.17.0,PRexp,4,3.94,,12,Left,Left,61,5,11,11,,,0.09
2024-03-30 19:12:04,1.17.0,PRexp,4,3.94,,12,Left,Left,62,5,11,11,,,0.11
2024-03-30 19:12:06,1.17.0,PRexp,4,3.94,1.0,12,Pellet,Left,62,5,12,12,0.12,128.0,
2024-03-30 19:12:35,1.17.0,PRexp,4,3.94,,13,Left,Left,63,5,12,12,,,0.18
2024-03-30 19:12:39,1.17.0,PRexp,4,3.94,,13,Left,Left,64,5,12,12,,,0.19
2024-03-30 19:12:41,1.17.0,PRexp,4,3.94,,13,Left,Left,65,5,12,12,,,0.5
2024-03-30 19:12:44,1.17.0,PRexp,4,3.94,,13,Left,Left,66,5,12,12,,,0.14
2024-03-30 19:12:46,1.17.0,PRexp,4,3.94,,13,Left,Left,67,5,12,12,,,0.23
2024-03-30 19:12:50,1.17.0,PRexp,4,3.94,,13,Left,Left,68,5,12,12,,,0.1
2024-03-30 19:12:51,1.17.0,PRexp,4,3.94,,13,Left,Left,69,5,12,12,,,0.06
2024-03-30 19:12:54,1.17.0,PRexp,4,3.94,,13,Left,Left,70,5,12,12,,,0.51
2024-03-30 19:12:56,1.17.0,PRexp,4,3.94,,13,Left,Left,71,5,12,12,,,0.57
2024-03-30 19:12:57,1.17.0,PRexp,4,3.94,,13,Left,Left,72,5,12,12,,,0.0
2024-03-30 19:13:00,1.17.0,PRexp,4,3.94,,13,Left,Left,73,5,12,12,,,0.14
2024-03-30 19:13:07,1.17.0,PRexp,4,3.94,,13,Left,Left,74,5,12,12,,,0.1
2024-03-30 19:13:08,1.17.0,PRexp,4,3.94,,13,Left,Left,75,5,12,12,,,0.0
2024-03-30 19:13:11,1.17.0,PRexp,4,3.94,2.0,13,Pellet,Left,75,5,13,13,0.06,65.0,
2024-03-30 19:13:40,1.17.0,PRexp,4,3.94,,15,Left,Left,76,5,13,13,,,0.04
2024-03-30 19:13:42,1.17.0,PRexp,4,3.94,,15,Left,Left,77,5,13,13,,,0.62
