MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2024-04-24 18:09:50,1.17.0,PRexp,16,3.98,,1,Right,Left,4,4,3,0,,,0.11
2024-04-24 18:10:15,1.17.0,PRexp,16,3.98,,1,Right,Left,4,5,3,0,,,0.0
2024-04-24 18:10:20,1.17.0,PRexp,16,3.98,,1,Right,Left,4,6,3,0,,,0.07
2024-04-24 18:10:49,1.17.0,PRexp,16,3.98,,1,Left,Left,5,6,3,0,,,0.16
2024-04-24 18:10:52,1.17.0,PRexp,16,3.98,1.0,1,Pellet,Left,5,6,4,1,1.22,1892.0,
2024-04-24 18:13:44,1.17.0,PRexp,16,3.98,,1,Left,Left,6,6,4,1,,,0.23
2024-04-24 18:13:46,1.17.0,PRexp,16,3.98,1.0,1,Pellet,Left,6,6,5,2,0.12,174.0,
2024-04-24 18:30:00,1.17.0,PRexp,16,3.98,,2,Left,Left,7,6,5,2,,,0.27
2024-04-24 18:30:04,1.17.0,PRexp,16,3.98,,2,Left,Left,8,6,5,2,,,0.19
2024-04-24 18:30:08,1.17.0,PRexp,16,3.98,1.0,2,Pellet,Left,8,6,6,3,1.65,982.0,
2024-04-24 18:30:55,1.17.0,PRexp,16,3.98,,2,Left,Left,9,6,6,3,,,0.16
2024-04-24 18:30:57,1.17.0,PRexp,16,3.98,,2,Left,Left,10,6,6,3,,,0.07
2024-04-24 18:31:00,1.17.0,PRexp,16,3.98,1.0,2,Pellet,Left,10,6,7,4,0.3,51.0,
2024-04-24 18:31:58,1.17.0,PRexp,16,3.98,,3,Left,Left,11,6,7,4,,,0.75
2024-04-24 18:32:00,1.17.0,PRexp,16,3.98,,3,Left,Left,12,6,7,4,,,0.13
2024-04-24 18:32:03,1.17.0,PRexp,16,3.98,,3,Left,Left,13,6,7,4,,,0.28
2024-04-24 18:32:05,1.17.0,PRexp,16,3.98,1.0,3,Pellet,Left,13,6,8,5,0.12,66.0,
2024-04-24 18:32:50,1.17.0,PRexp,16,3.98,,4,Left,Left,14,6,8,5,,,0.16
2024-04-24 18:32:57,1.17.0,PRexp,16,3.98,,4,Left,Left,15,6,8,5,,,0.0
2024-04-24 18:33:00,1.17.0,PRexp,16,3.98,,4,Left,Left,16,6,8,5,,,0.23
2024-04-24 18:33:06,1.17.0,PRexp,16,3.98,,4,Left,Left,17,6,8,5,,,0.28
2024-04-24 18:33:08,1.17.0,PRexp,16,3.98,2.0,4,Pellet,Left,17,6,9,6,0.06,63.0,
2024-04-24 18:34:12,1.17.0,PRexp,16,3.98,,5,Right,Left,17,7,9,6,,,0.02
2024-04-24 18:34:17,1.17.0,PRexp,16,3.98,,5,Left,Left,18,7,9,6,,,0.12
2024-04-24 18:34:22,1.17.0,PRexp,16,3.98,,5,Left,Left,19,7,9,6,,,0.34
2024-04-24 18:34:25,1.17.0,PRexp,16,3.98,,5,Left,Left,20,7,9,6,,,0.41
2024-04-24 18:34:29,1.17.0,PRexp,16,3.98,,5,Left,Left,21,7,9,6,,,0.11
2024-04-24 18:34:32,1.17.0,PRexp,16,3.98,,5,Left,Left,22,7,9,6,,,0.09
2024-04-24 18:34:34,1.17.0,PRexp,16,3.98,1.0,5,Pellet,Left,22,7,10,7,0.18,86.0,
2024-04-24 19:12:06,1.17.0,PRexp,16,3.98,,1,Left,Left,23,7,10,0,,,0.07
2024-04-24 19:12:08,1.17.0,PRexp,16,3.98,1.0,1,Pellet,Left,23,7,11,1,0.73,2254.0,
2024-04-24 19:13:07,1.17.0,PRexp,16,3.98,,1,Left,Left,24,7,11,1,,,0.56
2024-04-24 19:13:10,1.17.0,PRexp,16,3.98,2.0,1,Pellet,Left,24,7,12,2,0.06,61.0,
2024-04-24 19:14:03,1.17.0,PRexp,16,3.98,,2,Left,Left,25,7,12,2,,,0.19
2024-04-24 19:14:09,1.17.0,PRexp,16,3.98,,2,Left,Left,26,7,12,2,,,0.12
2024-04-24 19:14:11,1.17.0,PRexp,16,3.98,1.0,2,Pellet,Left,26,7,13,3,0.36,62.0,
2024-04-24 19:15:57,1.17.0,PRexp,16,3.98,,2,Right,Left,26,8,13,3,,,0.31
2024-04-24 19:16:03,1.17.0,PRexp,16,3.98,,2,Right,Left,26,9,13,3,,,0.0
2024-04-24 19:23:51,1.17.0,PRexp,16,3.98,,2,Left,Left,27,9,13,3,,,0.06
2024-04-24 19:23:53,1.17.0,PRexp,16,3.98,,2,Left,Left,28,9,13,3,,,0.11
2024-04-24 19:23:56,1.17.0,PRexp,16,3.98,2.0,2,Pellet,Left,28,9,14,4,0.24,585.0,
2024-04-24 19:24:39,1.17.0,PRexp,16,3.98,,3,Right,Left,28,10,14,4,,,0.04
2024-04-24 19:24:46,1.17.0,PRexp,16,3.98,,3,Left,Left,29,10,14,4,,,0.08
2024-04-24 19:27:17,1.17.0,PRexp,16,3.98,,3,Left,Left,30,10,14,4,,,0.05
