MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/24/2024 17:12:07,1.16.3,PRexp,2,3.66,nan,1,Right,Left,0,1,0,0,nan,nan,0.06
4/24/2024 17:15:36,1.16.3,PRexp,2,3.66,nan,1,Left,Left,1,1,0,0,nan,nan,0.42
4/24/2024 17:15:38,1.16.3,PRexp,2,3.66,1,1,Pellet,Left,1,1,1,1,0.40,nan,nan
4/24/2024 17:19:33,1.16.3,PRexp,2,3.66,nan,1,Right,Left,1,2,1,1,nan,nan,0.10
4/24/2024 17:21:20,1.16.3,PRexp,2,3.65,nan,1,Left,Left,2,2,1,1,nan,nan,0.35
4/24/2024 17:21:22,1.16.3,PRexp,2,3.66,1,1,Pellet,Left,2,2,2,2,0.68,345,nan
4/24/2024 17:21:48,1.16.3,PRexp,2,3.66,nan,2,Left,Left,3,2,2,2,nan,nan,0.23
4/24/2024 17:22:09,1.16.3,PRexp,2,3.66,nan,2,Left,Left,4,2,2,2,nan,nan,0.18
4/24/2024 17:22:10,1.16.3,PRexp,2,3.65,1,2,Pellet,Left,4,2,3,3,0.27,48,nan
4/24/2024 18:56:13,1.16.3,PRexp,2,3.65,nan,1,Left,Left,5,2,3,0,nan,nan,0.48
4/24/2024 18:56:14,1.16.3,PRexp,2,3.65,1,1,Pellet,Left,5,2,4,1,0.61,5644,nan
4/24/2024 18:56:41,1.16.3,PRexp,2,3.66,nan,1,Left,Left,6,2,4,1,nan,nan,0.34
4/24/2024 18:57:09,1.16.3,PRexp,2,3.65,2,1,Pellet,Left,6,2,5,2,25.74,55,nan
4/24/2024 19:46:02,1.16.3,PRexp,2,3.65,nan,1,Left,Left,7,2,5,0,nan,nan,0.26
4/24/2024 19:46:03,1.16.3,PRexp,2,3.65,1,1,Pellet,Left,7,2,6,1,0.88,2934,nan
4/24/2024 19:46:29,1.16.3,PRexp,2,3.65,nan,1,Left,Left,8,2,6,1,nan,nan,0.00
4/24/2024 19:46:30,1.16.3,PRexp,2,3.65,2,1,Pellet,Left,8,2,7,2,0.06,27,nan
4/24/2024 19:46:53,1.16.3,PRexp,2,3.67,nan,2,Left,Left,9,2,7,2,nan,nan,0.24
4/24/2024 19:46:55,1.16.3,PRexp,2,3.65,nan,2,Left,Left,10,2,7,2,nan,nan,0.13
4/24/2024 19:46:56,1.16.3,PRexp,2,3.66,1,2,Pellet,Left,10,2,8,3,0.27,26,nan
4/24/2024 19:47:22,1.16.3,PRexp,2,3.65,nan,2,Left,Left,11,2,8,3,nan,nan,0.04
4/24/2024 19:47:23,1.16.3,PRexp,2,3.65,nan,2,Left,Left,12,2,8,3,nan,nan,0.22
4/24/2024 19:47:24,1.16.3,PRexp,2,3.65,1,2,Pellet,Left,12,2,9,4,0.20,28,nan
4/24/2024 19:48:01,1.16.3,PRexp,2,3.65,nan,3,Left,Left,13,2,9,4,nan,nan,0.23
4/24/2024 19:48:03,1.16.3,PRexp,2,3.65,nan,3,Left,Left,14,2,9,4,nan,nan,0.60
