MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/25/2024 17:46:48,1.16.3,PRexp,5,3.89,nan,1,Left,Left,1,0,0,0,nan,nan,0.10
4/25/2024 17:46:49,1.16.3,PRexp,5,3.89,1,1,Pellet,Left,1,0,1,1,0.27,nan,nan
4/25/2024 17:47:18,1.16.3,PRexp,5,3.89,nan,1,Left,Left,2,0,1,1,nan,nan,0.22
4/25/2024 17:47:30,1.16.3,PRexp,5,3.89,6,1,Pellet,Left,2,0,2,2,2.52,41,nan
4/25/2024 17:48:08,1.16.3,PRexp,5,3.89,nan,2,Left,Left,3,0,2,2,nan,nan,0.00
4/25/2024 17:48:08,1.16.3,PRexp,5,3.88,nan,2,Left,Left,4,0,2,2,nan,nan,0.07
4/25/2024 17:48:09,1.16.3,PRexp,5,3.89,2,2,Pellet,Left,4,0,3,3,0.13,39,nan
4/25/2024 17:51:21,1.16.3,PRexp,5,3.89,nan,2,Left,Left,5,0,3,3,nan,nan,0.17
4/25/2024 17:51:24,1.16.3,PRexp,5,3.89,nan,2,Left,Left,6,0,3,3,nan,nan,0.17
4/25/2024 17:51:40,1.16.3,PRexp,5,3.89,2,2,Pellet,Left,6,0,4,4,12.85,211,nan
4/25/2024 18:58:36,1.16.3,PRexp,5,3.88,nan,1,Left,Left,7,0,4,0,nan,nan,0.04
4/25/2024 18:58:37,1.16.3,PRexp,5,3.88,1,1,Pellet,Left,7,0,5,1,0.34,4017,nan
4/25/2024 18:58:57,1.16.3,PRexp,5,3.89,nan,1,Left,Left,8,0,5,1,nan,nan,0.09
4/25/2024 18:58:58,1.16.3,PRexp,5,3.88,1,1,Pellet,Left,8,0,6,2,0.06,21,nan
4/25/2024 18:59:41,1.16.3,PRexp,5,3.89,nan,2,Left,Left,9,0,6,2,nan,nan,0.05
4/25/2024 18:59:42,1.16.3,PRexp,5,3.88,nan,2,Left,Left,10,0,6,2,nan,nan,0.06
4/25/2024 18:59:43,1.16.3,PRexp,5,3.89,1,2,Pellet,Left,10,0,7,3,0.40,45,nan
4/25/2024 19:00:08,1.16.3,PRexp,5,3.87,nan,2,Left,Left,11,0,7,3,nan,nan,0.19
4/25/2024 19:00:09,1.16.3,PRexp,5,3.89,nan,2,Left,Left,12,0,7,3,nan,nan,0.09
4/25/2024 19:00:10,1.16.3,PRexp,5,3.89,1,2,Pellet,Left,12,0,8,4,0.06,27,nan
4/25/2024 19:00:22,1.16.3,PRexp,5,3.88,nan,3,Left,Left,13,0,8,4,nan,nan,0.03
4/25/2024 19:00:23,1.16.3,PRexp,5,3.89,nan,3,Left,Left,14,0,8,4,nan,nan,0.54
4/25/2024 19:00:24,1.16.3,PRexp,5,3.89,nan,3,Left,Left,15,0,8,4,nan,nan,0.01
4/25/2024 19:00:25,1.16.3,PRexp,5,3.89,2,3,Pellet,Left,15,0,9,5,0.06,15,nan
4/25/2024 19:00:48,1.16.3,PRexp,5,3.89,nan,4,Left,Left,16,0,9,5,nan,nan,0.12
4/25/2024 19:00:49,1.16.3,PRexp,5,3.88,nan,4,Left,Left,17,0,9,5,nan,nan,0.08
4/25/2024 19:00:51,1.16.3,PRexp,5,3.89,nan,4,Left,Left,18,0,9,5,nan,nan,0.95
4/25/2024 19:00:53,1.16.3,PRexp,5,3.88,nan,4,Left,Left,19,0,9,5,nan,nan,0.67
4/25/2024 19:00:54,1.16.3,PRexp,5,3.89,1,4,Pellet,Left,19,0,10,6,0.06,29,nan
4/25/2024 19:01:24,1.16.3,PRexp,5,3.88,nan,5,Left,Left,20,0,10,6,nan,nan,0.01
4/25/2024 19:02:12,1.16.3,PRexp,5,3.88,nan,5,Left,Left,21,0,10,6,nan,nan,0.02
4/25/2024 19:02:21,1.16.3,PRexp,5,3.89,nan,5,Left,Left,22,0,10,6,nan,nan,0.07
4/25/2024 19:02:25,1.16.3,PRexp,5,3.88,nan,5,Left,Left,23,0,10,6,nan,nan,0.15
4/25/2024 19:02:28,1.16.3,PRexp,5,3.88,nan,5,Left,Left,24,0,10,6,nan,nan,0.54
4/25/2024 19:02:29,1.16.3,PRexp,5,3.89,nan,5,LeftDuringDispense,Left,25,0,10,7,nan,nan,0.05
4/25/2024 19:02:41,1.16.3,PRexp,5,3.88,3,5,Pellet,Left,25,0,11,7,7.45,107,nan
4/25/2024 19:36:37,1.16.3,PRexp,5,3.88,nan,1,Left,Left,26,0,11,0,nan,nan,0.05
4/25/2024 19:36:38,1.16.3,PRexp,5,3.88,1,1,Pellet,Left,26,0,12,1,0.20,2036,nan
4/25/2024 19:37:02,1.16.3,PRexp,5,3.89,nan,1,Left,Left,27,0,12,1,nan,nan,0.01
4/25/2024 19:37:03,1.16.3,PRexp,5,3.89,2,1,Pellet,Left,27,0,13,2,0.13,26,nan
4/25/2024 19:37:30,1.16.3,PRexp,5,3.88,nan,2,Left,Left,28,0,13,2,nan,nan,0.05
4/25/2024 19:37:32,1.16.3,PRexp,5,3.89,nan,2,Left,Left,29,0,13,2,nan,nan,0.00
4/25/2024 19:37:32,1.16.3,PRexp,5,3.88,nan,2,LeftDuringDispense,Left,30,0,13,3,nan,nan,0.03
4/25/2024 19:37:35,1.16.3,PRexp,5,3.88,2,2,Pellet,Left,30,0,14,3,0.27,32,nan
4/25/2024 19:37:57,1.16.3,PRexp,5,3.89,nan,2,Left,Left,31,0,14,3,nan,nan,0.05
4/25/2024 19:37:58,1.16.3,PRexp,5,3.88,nan,2,Left,Left,32,0,14,3,nan,nan,0.11
4/25/2024 19:38:08,1.16.3,PRexp,5,3.88,2,2,Pellet,Left,32,0,15,4,7.18,33,nan
4/25/2024 19:38:46,1.16.3,PRexp,5,3.89,nan,3,Left,Left,33,0,15,4,nan,nan,0.00
4/25/2024 19:38:49,1.16.3,PRexp,5,3.89,nan,3,Left,Left,34,0,15,4,nan,nan,0.33
4/25/2024 19:38:52,1.16.3,PRexp,5,3.89,nan,3,Left,Left,35,0,15,4,nan,nan,0.68
4/25/2024 19:38:52,1.16.3,PRexp,5,3.89,1,3,Pellet,Left,35,0,16,5,0.06,44,nan
4/25/2024 19:39:19,1.16.3,PRexp,5,3.88,nan,4,Left,Left,36,0,16,5,nan,nan,0.09
4/25/2024 19:39:26,1.16.3,PRexp,5,3.88,nan,4,Left,Left,37,0,16,5,nan,nan,0.05
4/25/2024 19:39:28,1.16.3,PRexp,5,3.88,nan,4,Left,Left,38,0,16,5,nan,nan,0.06
4/25/2024 19:39:29,1.16.3,PRexp,5,3.89,nan,4,Left,Left,39,0,16,5,nan,nan,0.08
4/25/2024 19:39:30,1.16.3,PRexp,5,3.88,1,4,Pellet,Left,39,0,17,6,0.06,38,nan
4/25/2024 19:40:22,1.16.3,PRexp,5,3.88,nan,5,Left,Left,40,0,17,6,nan,nan,0.05
4/25/2024 19:40:26,1.16.3,PRexp,5,3.88,nan,5,Left,Left,41,0,17,6,nan,nan,0.72
4/25/2024 19:40:27,1.16.3,PRexp,5,3.88,nan,5,Left,Left,42,0,17,6,nan,nan,0.31
4/25/2024 19:40:28,1.16.3,PRexp,5,3.88,nan,5,Left,Left,43,0,17,6,nan,nan,0.16
4/25/2024 19:40:30,1.16.3,PRexp,5,3.88,nan,5,Left,Left,44,0,17,6,nan,nan,0.00
4/25/2024 19:40:31,1.16.3,PRexp,5,3.88,1,5,Pellet,Left,44,0,18,7,0.13,60,nan
4/25/2024 19:41:52,1.16.3,PRexp,5,3.88,nan,6,Left,Left,45,0,18,7,nan,nan,0.04
