MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/25/2024 17:51:50,1.16.3,PRexp,14,4.03,nan,1,Left,Left,1,0,0,0,nan,nan,0.19
4/25/2024 17:51:51,1.16.3,PRexp,14,4.03,1,1,Pellet,Left,1,0,1,1,0.75,nan,nan
4/25/2024 17:52:05,1.16.3,PRexp,14,4.03,nan,1,Left,Left,2,0,1,1,nan,nan,0.05
4/25/2024 17:52:06,1.16.3,PRexp,14,4.03,1,1,Pellet,Left,2,0,2,2,0.25,15,nan
4/25/2024 17:52:45,1.16.3,PRexp,14,4.03,nan,2,Left,Left,3,0,2,2,nan,nan,0.02
4/25/2024 17:52:47,1.16.3,PRexp,14,4.03,nan,2,Left,Left,4,0,2,2,nan,nan,0.19
4/25/2024 17:52:48,1.16.3,PRexp,14,4.03,1,2,Pellet,Left,4,0,3,3,0.31,42,nan
4/25/2024 17:53:13,1.16.3,PRexp,14,4.03,nan,2,Left,Left,5,0,3,3,nan,nan,0.09
4/25/2024 17:53:45,1.16.3,PRexp,14,4.03,nan,2,Left,Left,6,0,3,3,nan,nan,0.21
4/25/2024 17:53:46,1.16.3,PRexp,14,4.03,1,2,Pellet,Left,6,0,4,4,0.25,58,nan
4/25/2024 17:55:58,1.16.3,PRexp,14,4.03,nan,3,Right,Left,6,1,4,4,nan,nan,0.32
4/25/2024 17:56:45,1.16.3,PRexp,14,4.03,nan,3,Left,Left,7,1,4,4,nan,nan,0.15
4/25/2024 17:56:47,1.16.3,PRexp,14,4.03,nan,3,Left,Left,8,1,4,4,nan,nan,0.15
4/25/2024 17:56:47,1.16.3,PRexp,14,4.03,nan,3,Left,Left,9,1,4,4,nan,nan,0.16
4/25/2024 17:56:49,1.16.3,PRexp,14,4.03,1,3,Pellet,Left,9,1,5,5,1.01,183,nan
4/25/2024 17:57:19,1.16.3,PRexp,14,4.03,nan,4,Left,Left,10,1,5,5,nan,nan,0.08
4/25/2024 17:57:20,1.16.3,PRexp,14,4.03,nan,4,Left,Left,11,1,5,5,nan,nan,0.08
4/25/2024 17:57:56,1.16.3,PRexp,14,4.03,nan,4,Left,Left,12,1,5,5,nan,nan,0.06
4/25/2024 17:57:57,1.16.3,PRexp,14,4.03,nan,4,Left,Left,13,1,5,5,nan,nan,0.06
4/25/2024 17:57:58,1.16.3,PRexp,14,4.03,1,4,Pellet,Left,13,1,6,6,0.19,69,nan
4/25/2024 18:01:05,1.16.3,PRexp,14,4.03,nan,5,Left,Left,14,1,6,6,nan,nan,0.00
4/25/2024 18:01:08,1.16.3,PRexp,14,4.03,nan,5,Left,Left,15,1,6,6,nan,nan,0.16
4/25/2024 18:01:09,1.16.3,PRexp,14,4.03,nan,5,Left,Left,16,1,6,6,nan,nan,0.22
4/25/2024 18:01:11,1.16.3,PRexp,14,4.03,nan,5,Left,Left,17,1,6,6,nan,nan,0.18
4/25/2024 18:01:13,1.16.3,PRexp,14,4.03,nan,5,Left,Left,18,1,6,6,nan,nan,0.20
4/25/2024 18:01:14,1.16.3,PRexp,14,4.03,1,5,Pellet,Left,18,1,7,7,0.25,196,nan
4/25/2024 18:02:33,1.16.3,PRexp,14,4.03,nan,6,Left,Left,19,1,7,7,nan,nan,0.04
4/25/2024 18:02:40,1.16.3,PRexp,14,4.03,nan,6,Left,Left,20,1,7,7,nan,nan,0.15
4/25/2024 18:02:53,1.16.3,PRexp,14,4.03,nan,6,Left,Left,21,1,7,7,nan,nan,0.38
4/25/2024 18:02:55,1.16.3,PRexp,14,4.03,nan,6,Left,Left,22,1,7,7,nan,nan,0.53
4/25/2024 18:02:57,1.16.3,PRexp,14,4.03,nan,6,Left,Left,23,1,7,7,nan,nan,0.21
4/25/2024 18:03:12,1.16.3,PRexp,14,4.03,nan,6,Left,Left,24,1,7,7,nan,nan,0.03
4/25/2024 18:03:13,1.16.3,PRexp,14,4.03,2,6,Pellet,Left,24,1,8,8,0.12,119,nan
4/25/2024 18:09:03,1.16.3,PRexp,14,4.03,nan,7,Left,Left,25,1,8,8,nan,nan,0.56
4/25/2024 18:09:09,1.16.3,PRexp,14,4.03,nan,7,Left,Left,26,1,8,8,nan,nan,0.20
4/25/2024 18:13:35,1.16.3,PRexp,14,4.03,nan,7,Left,Left,27,1,8,8,nan,nan,0.16
4/25/2024 18:13:36,1.16.3,PRexp,14,4.03,nan,7,Left,Left,28,1,8,8,nan,nan,0.06
4/25/2024 18:13:42,1.16.3,PRexp,14,4.03,nan,7,Left,Left,29,1,8,8,nan,nan,0.75
4/25/2024 18:14:07,1.16.3,PRexp,14,4.03,nan,7,Right,Left,29,2,8,8,nan,nan,0.26
4/25/2024 18:14:09,1.16.3,PRexp,14,4.03,nan,7,Left,Left,30,2,8,8,nan,nan,0.03
4/25/2024 18:14:11,1.16.3,PRexp,14,4.03,nan,7,Left,Left,31,2,8,8,nan,nan,0.08
4/25/2024 18:14:12,1.16.3,PRexp,14,4.03,1,7,Pellet,Left,31,2,9,9,0.75,659,nan
4/25/2024 18:32:53,1.16.3,PRexp,14,4.03,nan,9,Left,Left,32,2,9,9,nan,nan,0.07
4/25/2024 18:32:57,1.16.3,PRexp,14,4.03,nan,9,Left,Left,33,2,9,9,nan,nan,0.32
4/25/2024 18:32:59,1.16.3,PRexp,14,4.03,nan,9,Left,Left,34,2,9,9,nan,nan,0.12
4/25/2024 18:39:23,1.16.3,PRexp,14,4.03,nan,9,Left,Left,35,2,9,9,nan,nan,0.65
4/25/2024 18:39:24,1.16.3,PRexp,14,4.03,nan,9,Left,Left,36,2,9,9,nan,nan,0.01
4/25/2024 18:39:27,1.16.3,PRexp,14,4.03,nan,9,Left,Left,37,2,9,9,nan,nan,0.82
4/25/2024 18:39:30,1.16.3,PRexp,14,4.03,nan,9,Left,Left,38,2,9,9,nan,nan,0.28
