MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/24/2024 18:25:04,1.16.3,PRexp,8,4.10,nan,1,Left,Left,1,0,0,0,nan,nan,0.15
4/24/2024 18:25:05,1.16.3,PRexp,8,4.10,1,1,Pellet,Left,1,0,1,1,0.19,nan,nan
4/24/2024 18:25:31,1.16.3,PRexp,8,4.10,nan,1,Left,Left,2,0,1,1,nan,nan,0.03
4/24/2024 18:25:33,1.16.3,PRexp,8,4.10,1,1,Pellet,Left,2,0,2,2,0.82,28,nan
4/24/2024 18:26:00,1.16.3,PRexp,8,4.11,nan,2,Left,Left,3,0,2,2,nan,nan,0.20
4/24/2024 18:26:01,1.16.3,PRexp,8,4.10,nan,2,Left,Left,4,0,2,2,nan,nan,0.10
4/24/2024 18:26:02,1.16.3,PRexp,8,4.10,1,2,Pellet,Left,4,0,3,3,0.44,29,nan
4/24/2024 18:26:33,1.16.3,PRexp,8,4.10,nan,2,Left,Left,5,0,3,3,nan,nan,0.07
4/24/2024 18:26:35,1.16.3,PRexp,8,4.10,nan,2,Left,Left,6,0,3,3,nan,nan,0.15
4/24/2024 18:26:36,1.16.3,PRexp,8,4.09,2,2,Pellet,Left,6,0,4,4,0.06,34,nan
4/24/2024 18:27:05,1.16.3,PRexp,8,4.10,nan,3,Left,Left,7,0,4,4,nan,nan,0.08
4/24/2024 18:27:06,1.16.3,PRexp,8,4.10,nan,3,Left,Left,8,0,4,4,nan,nan,0.08
4/24/2024 18:27:11,1.16.3,PRexp,8,4.10,nan,3,Left,Left,9,0,4,4,nan,nan,0.12
4/24/2024 18:27:12,1.16.3,PRexp,8,4.10,1,3,Pellet,Left,9,0,5,5,0.25,35,nan
4/24/2024 18:27:48,1.16.3,PRexp,8,4.10,nan,4,Left,Left,10,0,5,5,nan,nan,0.57
4/24/2024 18:27:49,1.16.3,PRexp,8,4.10,nan,4,Left,Left,11,0,5,5,nan,nan,0.11
4/24/2024 18:27:51,1.16.3,PRexp,8,4.10,nan,4,Left,Left,12,0,5,5,nan,nan,0.29
4/24/2024 18:27:52,1.16.3,PRexp,8,4.10,nan,4,Left,Left,13,0,5,5,nan,nan,0.30
4/24/2024 18:27:53,1.16.3,PRexp,8,4.09,1,4,Pellet,Left,13,0,6,6,0.19,42,nan
4/24/2024 18:28:17,1.16.3,PRexp,8,4.09,nan,5,Left,Left,14,0,6,6,nan,nan,0.03
4/24/2024 18:28:18,1.16.3,PRexp,8,4.10,nan,5,Left,Left,15,0,6,6,nan,nan,0.00
4/24/2024 18:28:22,1.16.3,PRexp,8,4.09,nan,5,Left,Left,16,0,6,6,nan,nan,0.11
4/24/2024 18:28:25,1.16.3,PRexp,8,4.10,nan,5,Left,Left,17,0,6,6,nan,nan,0.27
4/24/2024 18:28:27,1.16.3,PRexp,8,4.10,nan,5,Left,Left,18,0,6,6,nan,nan,0.95
4/24/2024 18:28:28,1.16.3,PRexp,8,4.09,1,5,Pellet,Left,18,0,7,7,0.50,35,nan
4/24/2024 18:29:00,1.16.3,PRexp,8,4.10,nan,6,Left,Left,19,0,7,7,nan,nan,0.11
4/24/2024 18:29:01,1.16.3,PRexp,8,4.10,nan,6,Left,Left,20,0,7,7,nan,nan,0.12
4/24/2024 18:29:03,1.16.3,PRexp,8,4.10,nan,6,Left,Left,21,0,7,7,nan,nan,0.62
4/24/2024 18:29:05,1.16.3,PRexp,8,4.10,nan,6,Left,Left,22,0,7,7,nan,nan,0.35
4/24/2024 18:29:06,1.16.3,PRexp,8,4.10,nan,6,Left,Left,23,0,7,7,nan,nan,0.59
4/24/2024 18:29:07,1.16.3,PRexp,8,4.11,nan,6,Left,Left,24,0,7,7,nan,nan,0.14
4/24/2024 18:29:08,1.16.3,PRexp,8,4.10,1,6,Pellet,Left,24,0,8,8,0.19,40,nan
4/24/2024 18:29:32,1.16.3,PRexp,8,4.10,nan,7,Left,Left,25,0,8,8,nan,nan,0.11
4/24/2024 18:29:33,1.16.3,PRexp,8,4.10,nan,7,Left,Left,26,0,8,8,nan,nan,0.14
4/24/2024 18:29:36,1.16.3,PRexp,8,4.10,nan,7,Left,Left,27,0,8,8,nan,nan,0.07
