MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/29/2024 19:05:11,1.16.3,PRexp,10,3.91,nan,1,Left,Left,1,0,0,0,nan,nan,0.10
3/29/2024 19:05:12,1.16.3,PRexp,10,3.91,1,1,Pellet,Left,1,0,1,1,0.54,nan,nan
3/29/2024 19:05:36,1.16.3,PRexp,10,3.91,nan,1,Left,Left,2,0,1,1,nan,nan,0.06
3/29/2024 19:05:37,1.16.3,PRexp,10,3.91,1,1,Pellet,Left,2,0,2,2,0.20,25,nan
3/29/2024 19:05:54,1.16.3,PRexp,10,3.91,nan,2,Left,Left,3,0,2,2,nan,nan,0.04
3/29/2024 19:05:55,1.16.3,PRexp,10,3.91,nan,2,Left,Left,4,0,2,2,nan,nan,0.22
3/29/2024 19:05:59,1.16.3,PRexp,10,3.90,2,2,Pellet,Left,4,0,3,3,0.74,22,nan
3/29/2024 19:06:19,1.16.3,PRexp,10,3.91,nan,2,Left,Left,5,0,3,3,nan,nan,0.01
3/29/2024 19:06:22,1.16.3,PRexp,10,3.91,nan,2,Left,Left,6,0,3,3,nan,nan,0.06
3/29/2024 19:06:23,1.16.3,PRexp,10,3.91,1,2,Pellet,Left,6,0,4,4,0.20,24,nan
3/29/2024 19:06:46,1.16.3,PRexp,10,3.91,nan,3,Left,Left,7,0,4,4,nan,nan,0.02
3/29/2024 19:06:47,1.16.3,PRexp,10,3.91,nan,3,Left,Left,8,0,4,4,nan,nan,0.15
3/29/2024 19:06:48,1.16.3,PRexp,10,3.91,nan,3,Left,Left,9,0,4,4,nan,nan,0.08
3/29/2024 19:06:49,1.16.3,PRexp,10,3.91,1,3,Pellet,Left,9,0,5,5,0.27,26,nan
3/29/2024 19:07:16,1.16.3,PRexp,10,3.91,nan,4,Left,Left,10,0,5,5,nan,nan,0.11
3/29/2024 19:07:17,1.16.3,PRexp,10,3.91,nan,4,Left,Left,11,0,5,5,nan,nan,0.10
3/29/2024 19:07:18,1.16.3,PRexp,10,3.91,nan,4,Left,Left,12,0,5,5,nan,nan,0.03
3/29/2024 19:07:19,1.16.3,PRexp,10,3.91,nan,4,Left,Left,13,0,5,5,nan,nan,0.09
