MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/24/2024 17:11:57,1.16.3,PRexp,9,4.12,nan,1,Left,Left,1,0,0,0,nan,nan,0.22
4/24/2024 17:11:59,1.16.3,PRexp,9,4.12,1,1,Pellet,Left,1,0,1,1,0.27,nan,nan
4/24/2024 17:12:49,1.16.3,PRexp,9,4.12,nan,1,Left,Left,2,0,1,1,nan,nan,0.31
4/24/2024 17:12:50,1.16.3,PRexp,9,4.12,1,1,Pellet,Left,2,0,2,2,0.27,52,nan
4/24/2024 17:14:34,1.16.3,PRexp,9,4.12,nan,2,Left,Left,3,0,2,2,nan,nan,0.01
4/24/2024 17:14:53,1.16.3,PRexp,9,4.12,nan,2,Left,Left,4,0,2,2,nan,nan,0.35
4/24/2024 17:14:55,1.16.3,PRexp,9,4.12,1,2,Pellet,Left,4,0,3,3,0.40,125,nan
4/24/2024 17:15:21,1.16.3,PRexp,9,4.12,nan,2,Left,Left,5,0,3,3,nan,nan,0.11
4/24/2024 17:15:24,1.16.3,PRexp,9,4.11,nan,2,Left,Left,6,0,3,3,nan,nan,0.45
4/24/2024 17:15:25,1.16.3,PRexp,9,4.12,1,2,Pellet,Left,6,0,4,4,0.27,30,nan
4/24/2024 17:17:18,1.16.3,PRexp,9,4.12,nan,3,Left,Left,7,0,4,4,nan,nan,0.29
4/24/2024 17:17:18,1.16.3,PRexp,9,4.11,nan,3,Left,Left,8,0,4,4,nan,nan,0.00
4/24/2024 17:17:56,1.16.3,PRexp,9,4.12,nan,3,Left,Left,9,0,4,4,nan,nan,0.07
4/24/2024 17:17:57,1.16.3,PRexp,9,4.12,1,3,Pellet,Left,9,0,5,5,0.34,152,nan
4/24/2024 17:18:20,1.16.3,PRexp,9,4.12,nan,4,Left,Left,10,0,5,5,nan,nan,0.35
4/24/2024 17:18:21,1.16.3,PRexp,9,4.12,nan,4,Left,Left,11,0,5,5,nan,nan,0.31
4/24/2024 17:18:23,1.16.3,PRexp,9,4.12,nan,4,Left,Left,12,0,5,5,nan,nan,0.13
4/24/2024 17:18:24,1.16.3,PRexp,9,4.11,nan,4,Left,Left,13,0,5,5,nan,nan,0.36
4/24/2024 17:18:25,1.16.3,PRexp,9,4.12,1,4,Pellet,Left,13,0,6,6,0.40,28,nan
4/24/2024 17:19:03,1.16.3,PRexp,9,4.12,nan,5,Left,Left,14,0,6,6,nan,nan,0.28
4/24/2024 17:19:05,1.16.3,PRexp,9,4.12,nan,5,Left,Left,15,0,6,6,nan,nan,0.32
4/24/2024 17:19:07,1.16.3,PRexp,9,4.12,nan,5,Left,Left,16,0,6,6,nan,nan,0.37
4/24/2024 17:20:27,1.16.3,PRexp,9,4.12,nan,5,Right,Left,16,1,6,6,nan,nan,0.08
4/24/2024 17:22:29,1.16.3,PRexp,9,4.12,nan,5,Left,Left,17,1,6,6,nan,nan,0.19
4/24/2024 17:22:30,1.16.3,PRexp,9,4.12,nan,5,Left,Left,18,1,6,6,nan,nan,0.24
4/24/2024 17:22:31,1.16.3,PRexp,9,4.12,1,5,Pellet,Left,18,1,7,7,0.20,246,nan
4/24/2024 17:23:15,1.16.3,PRexp,9,4.13,nan,6,Left,Left,19,1,7,7,nan,nan,0.08
4/24/2024 17:23:18,1.16.3,PRexp,9,4.12,nan,6,Left,Left,20,1,7,7,nan,nan,0.10
4/24/2024 17:23:20,1.16.3,PRexp,9,4.12,nan,6,Left,Left,21,1,7,7,nan,nan,0.29
4/24/2024 17:23:22,1.16.3,PRexp,9,4.12,nan,6,Left,Left,22,1,7,7,nan,nan,0.20
4/24/2024 17:23:23,1.16.3,PRexp,9,4.11,nan,6,Left,Left,23,1,7,7,nan,nan,0.08
4/24/2024 17:23:24,1.16.3,PRexp,9,4.12,nan,6,Left,Left,24,1,7,7,nan,nan,0.26
4/24/2024 17:23:25,1.16.3,PRexp,9,4.12,1,6,Pellet,Left,24,1,8,8,0.34,54,nan
4/24/2024 17:24:38,1.16.3,PRexp,9,4.12,nan,7,Left,Left,25,1,8,8,nan,nan,0.10
4/24/2024 17:24:40,1.16.3,PRexp,9,4.12,nan,7,Left,Left,26,1,8,8,nan,nan,0.40
4/24/2024 17:24:43,1.16.3,PRexp,9,4.12,nan,7,Left,Left,27,1,8,8,nan,nan,0.26
4/24/2024 17:24:44,1.16.3,PRexp,9,4.12,nan,7,Left,Left,28,1,8,8,nan,nan,0.32
4/24/2024 17:24:45,1.16.3,PRexp,9,4.12,nan,7,Left,Left,29,1,8,8,nan,nan,0.38
4/24/2024 17:24:47,1.16.3,PRexp,9,4.12,nan,7,Left,Left,30,1,8,8,nan,nan,0.26
4/24/2024 17:24:49,1.16.3,PRexp,9,4.12,nan,7,Left,Left,31,1,8,8,nan,nan,0.19
4/24/2024 17:24:50,1.16.3,PRexp,9,4.12,1,7,Pellet,Left,31,1,9,9,0.61,85,nan
4/24/2024 17:29:21,1.16.3,PRexp,9,4.12,nan,9,Left,Left,32,1,9,9,nan,nan,0.02
4/24/2024 17:29:22,1.16.3,PRexp,9,4.12,nan,9,Left,Left,33,1,9,9,nan,nan,0.34
4/24/2024 17:29:23,1.16.3,PRexp,9,4.12,nan,9,Left,Left,34,1,9,9,nan,nan,0.21
4/24/2024 17:29:24,1.16.3,PRexp,9,4.12,nan,9,Left,Left,35,1,9,9,nan,nan,0.19
4/24/2024 17:29:26,1.16.3,PRexp,9,4.12,nan,9,Left,Left,36,1,9,9,nan,nan,0.26
4/24/2024 17:29:27,1.16.3,PRexp,9,4.12,nan,9,Left,Left,37,1,9,9,nan,nan,0.19
4/24/2024 17:29:29,1.16.3,PRexp,9,4.12,nan,9,Left,Left,38,1,9,9,nan,nan,0.31
4/24/2024 17:29:30,1.16.3,PRexp,9,4.12,nan,9,Left,Left,39,1,9,9,nan,nan,0.28
4/24/2024 17:29:32,1.16.3,PRexp,9,4.12,nan,9,Left,Left,40,1,9,9,nan,nan,0.21
4/24/2024 17:29:33,1.16.3,PRexp,9,4.12,1,9,Pellet,Left,40,1,10,10,0.61,283,nan
4/24/2024 17:34:52,1.16.3,PRexp,9,4.12,nan,10,Left,Left,41,1,10,10,nan,nan,0.36
4/24/2024 17:34:54,1.16.3,PRexp,9,4.12,nan,10,Left,Left,42,1,10,10,nan,nan,0.21
4/24/2024 17:35:01,1.16.3,PRexp,9,4.12,nan,10,Left,Left,43,1,10,10,nan,nan,0.07
4/24/2024 17:35:03,1.16.3,PRexp,9,4.12,nan,10,Left,Left,44,1,10,10,nan,nan,0.32
4/24/2024 17:35:04,1.16.3,PRexp,9,4.11,nan,10,Left,Left,45,1,10,10,nan,nan,0.00
4/24/2024 17:35:05,1.16.3,PRexp,9,4.12,nan,10,Left,Left,46,1,10,10,nan,nan,0.24
4/24/2024 17:35:07,1.16.3,PRexp,9,4.12,nan,10,Left,Left,47,1,10,10,nan,nan,0.22
4/24/2024 17:35:08,1.16.3,PRexp,9,4.12,nan,10,Left,Left,48,1,10,10,nan,nan,0.32
4/24/2024 17:35:09,1.16.3,PRexp,9,4.12,nan,10,Left,Left,49,1,10,10,nan,nan,0.00
4/24/2024 17:35:10,1.16.3,PRexp,9,4.12,nan,10,Left,Left,50,1,10,10,nan,nan,0.19
4/24/2024 17:35:11,1.16.3,PRexp,9,4.12,1,10,Pellet,Left,50,1,11,11,0.40,338,nan
4/24/2024 17:36:45,1.16.3,PRexp,9,4.12,nan,12,Left,Left,51,1,11,11,nan,nan,0.58
4/24/2024 17:36:46,1.16.3,PRexp,9,4.12,nan,12,Left,Left,52,1,11,11,nan,nan,0.19
4/24/2024 17:36:48,1.16.3,PRexp,9,4.12,nan,12,Left,Left,53,1,11,11,nan,nan,0.44
4/24/2024 17:36:50,1.16.3,PRexp,9,4.12,nan,12,Left,Left,54,1,11,11,nan,nan,0.41
4/24/2024 17:36:51,1.16.3,PRexp,9,4.12,nan,12,Left,Left,55,1,11,11,nan,nan,0.31
4/24/2024 17:36:53,1.16.3,PRexp,9,4.11,nan,12,Left,Left,56,1,11,11,nan,nan,0.39
4/24/2024 17:36:55,1.16.3,PRexp,9,4.12,nan,12,Left,Left,57,1,11,11,nan,nan,0.52
4/24/2024 17:36:58,1.16.3,PRexp,9,4.12,nan,12,Left,Left,58,1,11,11,nan,nan,0.38
