MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/25/2024 17:43:53,1.16.3,PRexp,10,3.81,nan,1,Left,Left,1,0,0,0,nan,nan,0.12
4/25/2024 17:43:55,1.16.3,PRexp,10,3.81,1,1,Pellet,Left,1,0,1,1,1.02,nan,nan
4/25/2024 18:18:27,1.16.3,PRexp,10,3.81,nan,1,Left,Left,2,0,1,0,nan,nan,0.10
4/25/2024 18:18:28,1.16.3,PRexp,10,3.81,1,1,Pellet,Left,2,0,2,1,0.68,2073,nan
4/25/2024 18:18:52,1.16.3,PRexp,10,3.81,nan,1,Left,Left,3,0,2,1,nan,nan,0.17
4/25/2024 18:18:53,1.16.3,PRexp,10,3.81,1,1,Pellet,Left,3,0,3,2,0.40,25,nan
4/25/2024 18:19:27,1.16.3,PRexp,10,3.81,nan,2,Left,Left,4,0,3,2,nan,nan,0.04
4/25/2024 18:19:28,1.16.3,PRexp,10,3.81,nan,2,Left,Left,5,0,3,2,nan,nan,0.18
4/25/2024 18:19:29,1.16.3,PRexp,10,3.81,1,2,Pellet,Left,5,0,4,3,0.34,36,nan
4/25/2024 18:20:00,1.16.3,PRexp,10,3.81,nan,2,Left,Left,6,0,4,3,nan,nan,0.02
4/25/2024 18:20:03,1.16.3,PRexp,10,3.81,nan,2,Left,Left,7,0,4,3,nan,nan,0.11
4/25/2024 18:20:04,1.16.3,PRexp,10,3.81,1,2,Pellet,Left,7,0,5,4,0.34,35,nan
4/25/2024 18:20:31,1.16.3,PRexp,10,3.81,nan,3,Left,Left,8,0,5,4,nan,nan,0.03
4/25/2024 18:20:32,1.16.3,PRexp,10,3.80,nan,3,Left,Left,9,0,5,4,nan,nan,0.00
4/25/2024 18:20:34,1.16.3,PRexp,10,3.81,nan,3,Left,Left,10,0,5,4,nan,nan,0.67
4/25/2024 18:20:35,1.16.3,PRexp,10,3.81,1,3,Pellet,Left,10,0,6,5,0.40,31,nan
4/25/2024 18:21:08,1.16.3,PRexp,10,3.82,nan,4,Left,Left,11,0,6,5,nan,nan,0.10
4/25/2024 18:21:10,1.16.3,PRexp,10,3.81,nan,4,Left,Left,12,0,6,5,nan,nan,0.08
4/25/2024 18:21:13,1.16.3,PRexp,10,3.80,nan,4,Left,Left,13,0,6,5,nan,nan,0.14
4/25/2024 18:21:15,1.16.3,PRexp,10,3.81,nan,4,Left,Left,14,0,6,5,nan,nan,0.32
4/25/2024 18:21:16,1.16.3,PRexp,10,3.80,1,4,Pellet,Left,14,0,7,6,0.47,41,nan
4/25/2024 18:22:19,1.16.3,PRexp,10,3.81,nan,5,Left,Left,15,0,7,6,nan,nan,0.04
4/25/2024 18:34:29,1.16.3,PRexp,10,3.81,nan,5,Left,Left,16,0,7,6,nan,nan,0.06
4/25/2024 18:34:30,1.16.3,PRexp,10,3.81,nan,5,Left,Left,17,0,7,6,nan,nan,0.08
4/25/2024 18:34:33,1.16.3,PRexp,10,3.81,nan,5,Left,Left,18,0,7,6,nan,nan,0.54
4/25/2024 18:34:35,1.16.3,PRexp,10,3.81,nan,5,Left,Left,19,0,7,6,nan,nan,0.75
