Subject,Sex,PreL,PreR,PostL,PostR,VEHL,VEHR,MetL,MetR,SalL,SalR,Pre,Post,Veh,Met,Sal
M846,M,6.61,3.14,0.653333,8.57,0.21,5.683333,4.716667,8.203333,0.4,6.086667,2.105095541,0.076234889,0.036950149,0.574969589,0.065717412
M847,M,6.703333,6.286667,1.07,5.956667,0.143333,4.643333,5.383333,6.9,0.966667,5.52,1.066277727,0.179630656,0.030868559,0.780193188,0.175120833
M848,M,3.846667,6.38,0.96,6.3,1.05,5.336667,4.37,8.42,0.926667,8.27,0.602925862,0.152380952,0.196752018,0.519002375,0.112051632
M849,M,4.363333,3.693333,1.203333,4.493333,1.33,7.23,4.71,5.676667,1.77,8.3,1.181407959,0.2678041,0.18395574,0.829712224,0.213253012
M850,M,3.703333,5.946667,0.696667,7.906667,0.373333,7.35,6.05,4.476667,0.196667,6.793333,0.622757757,0.088111337,0.050793605,1.351451873,0.028950001
M851,M,6.946667,6.553333,0.98,5.453333,0.433333,7.296667,3.846667,5.796667,0.826667,7.596667,1.060020451,0.179706612,0.0593878,0.663599789,0.108819697
M853,M,7.69,6.876667,0.703333,5.446667,0.616667,6.246667,5.606667,6.573333,0.746667,5.69,1.118274304,0.129130898,0.098719365,0.85294127,0.131224429
M854,M,6.366667,7.433333,0.4,5.423333,0.273333,6.32,4.323333,9.34,0.86,5.853333,0.856502325,0.073755383,0.043248892,0.462883619,0.146924838
M855,M,4.393333,6.35,1.053333,6.61,0.146667,6.82,4.683333,8.47,3.186667,11.36333,0.691863465,0.159354463,0.021505425,0.552931877,0.280434257
M856,M,5.283333,4.81,1.056667,6.453333,0.853333,8.293333,4.086667,8.18,3.046667,8.36,1.098406029,0.16373973,0.102893855,0.499592543,0.364433852
M857,M,5.253333,4.833333,0.336667,6.476667,0.29,5.2,3.463333,2.983333,0.106667,7.006667,1.086896558,0.051981521,0.055769231,1.160893873,0.015223643
M858,M,5.776667,7.443333,0.256667,6.64,0.24,7.13,3.186667,7.976667,0.16,6.473333,0.776086063,0.038654669,0.033660589,0.399498562,0.024716788
M859,M,5.216667,5.45,0.233333,5.963333,0.316667,7.063333,0.22,4.966667,0.163333,4.993333,0.957186606,0.039127951,0.044832517,0.044295299,0.032710216
M860,M,6.016667,6.65,0.7,7.156667,0.546667,6.583333,3.96,9.31,0.76,7.99,0.904761955,0.097810894,0.08303803,0.425349087,0.095118899
M861,M,4.383333,5.503333,0.826667,6.613333,0.336667,10.15667,3.133333,6.83,0.74,11.31,0.796486965,0.125000057,0.03314738,0.458760322,0.065428824
M862,M,7.416667,6.336667,1.013333,6.18,1.026667,6.65,4.14,7.13,0.466667,7.333333,1.170436603,0.163969741,0.154386015,0.580645161,0.063636412
M863,M,5.483333,3.626667,1.096667,8.226667,0.883333,7.66,4.413333,7.98,0.343333,5.95,1.511948299,0.133306356,0.115317624,0.553049248,0.057703025
F1,F,4.723333,3.723333,0.56,4.86,0.586667,2.996667,5.373333,4.26,0.166667,3.81,1.268576568,0.115226337,0.195773171,1.261345775,0.043744619
F2,F,5.496667,3.286667,3.053333,5.65,0.88,4.963333,4.433333,7.24,0.62,7.876667,1.672413725,0.54041292,0.177300213,0.612338812,0.078713496
