MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/22/2023 9:46:23,1.17.0,Bandit,10,4.15,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.18
10/22/2023 9:47:53,1.17.0,Bandit,10,4.15,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.05
10/22/2023 9:47:54,1.17.0,Bandit,10,4.15,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.16
10/22/2023 9:49:04,1.17.0,Bandit,10,4.15,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.10
10/22/2023 9:49:50,1.17.0,Bandit,10,4.16,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.08
10/22/2023 9:49:52,1.17.0,Bandit,10,4.15,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.27
10/22/2023 9:53:07,1.17.0,Bandit,10,4.15,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.11
10/22/2023 9:53:13,1.17.0,Bandit,10,4.16,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.02
10/22/2023 9:54:52,1.17.0,Bandit,10,4.15,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.03
10/22/2023 9:55:08,1.17.0,Bandit,10,4.16,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.07
10/22/2023 9:55:10,1.17.0,Bandit,10,4.15,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.05
10/22/2023 9:55:11,1.17.0,Bandit,10,4.15,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.02
10/22/2023 9:55:19,1.17.0,Bandit,10,4.15,2,15,10,40,Pellet,Right,0,1,1,0,Timed_out,nan,nan
10/22/2023 9:55:25,1.17.0,Bandit,10,4.15,nan,15,10,40,Right,Right,0,2,1,1,nan,nan,0.07
10/22/2023 9:55:40,1.17.0,Bandit,10,4.15,nan,15,10,40,Left,Right,1,2,1,1,nan,nan,0.07
10/22/2023 9:55:43,1.17.0,Bandit,10,4.15,nan,15,10,40,RightinTimeout,Right,1,2,1,1,nan,nan,0.00
10/22/2023 9:55:50,1.17.0,Bandit,10,4.15,nan,15,10,40,RightinTimeout,Right,1,2,1,1,nan,nan,0.00
10/22/2023 9:55:59,1.17.0,Bandit,10,4.15,nan,15,10,40,Right,Right,1,3,1,1,nan,nan,0.36
10/22/2023 9:56:02,1.17.0,Bandit,10,4.15,1,15,10,40,Pellet,Right,1,3,2,1,0.30,43,nan
10/22/2023 10:00:42,1.17.0,Bandit,10,4.15,nan,15,10,40,Right,Right,1,4,2,2,nan,nan,0.04
10/22/2023 10:03:36,1.17.0,Bandit,10,4.15,nan,15,10,40,Left,Right,2,4,2,2,nan,nan,0.02
10/22/2023 10:04:12,1.17.0,Bandit,10,4.16,nan,15,10,40,Left,Right,3,4,2,2,nan,nan,0.12
10/22/2023 10:08:01,1.17.0,Bandit,10,4.14,nan,15,10,40,LeftWithPellet,Right,3,4,2,2,nan,nan,0.03
