MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/21/2023 17:30:21,1.17.0,Bandit,18,4.20,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.10
10/21/2023 17:32:08,1.17.0,Bandit,18,4.20,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.45
10/21/2023 17:32:11,1.17.0,Bandit,18,4.20,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,1.34
10/21/2023 17:32:27,1.17.0,Bandit,18,4.20,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.22
10/21/2023 17:35:01,1.17.0,Bandit,18,4.20,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.05
10/21/2023 17:35:05,1.17.0,Bandit,18,4.20,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.21
10/21/2023 17:35:07,1.17.0,Bandit,18,4.21,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.30
10/21/2023 17:35:11,1.17.0,Bandit,18,4.20,2,15,10,40,Pellet,Right,0,1,1,0,Timed_out,nan,nan
10/21/2023 17:37:13,1.17.0,Bandit,18,4.20,nan,15,10,40,Right,Right,0,2,1,1,nan,nan,0.12
10/21/2023 17:37:17,1.17.0,Bandit,18,4.20,nan,15,10,40,RightinTimeout,Right,0,2,1,1,nan,nan,0.00
10/21/2023 17:38:29,1.17.0,Bandit,18,4.20,nan,15,10,40,Right,Right,0,3,1,1,nan,nan,0.31
10/21/2023 17:38:31,1.17.0,Bandit,18,4.20,1,15,10,40,Pellet,Right,0,3,2,1,0.31,200,nan
10/21/2023 17:38:53,1.17.0,Bandit,18,4.20,nan,15,10,40,Right,Right,0,4,2,2,nan,nan,0.24
10/21/2023 17:38:58,1.17.0,Bandit,18,4.20,nan,15,10,40,RightinTimeout,Right,0,4,2,2,nan,nan,0.00
10/21/2023 17:38:59,1.17.0,Bandit,18,4.20,nan,15,10,40,RightinTimeout,Right,0,4,2,2,nan,nan,0.00
10/21/2023 17:39:31,1.17.0,Bandit,18,4.21,nan,15,10,40,Right,Right,0,5,2,2,nan,nan,0.08
