MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/21/2023 17:28:49,1.17.0,Bandit,27,4.19,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.13
10/21/2023 17:29:35,1.17.0,Bandit,27,4.18,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.14
10/21/2023 17:31:34,1.17.0,Bandit,27,4.19,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.19
10/21/2023 17:34:08,1.17.0,Bandit,27,4.19,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.00
10/21/2023 17:37:57,1.17.0,Bandit,27,4.19,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.04
10/21/2023 17:38:05,1.17.0,Bandit,27,4.19,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.03
10/21/2023 17:42:55,1.17.0,Bandit,27,4.19,nan,15,10,40,LeftWithPellet,Right,0,1,0,0,nan,nan,0.37
10/21/2023 17:43:22,1.17.0,Bandit,27,4.18,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.24
10/21/2023 17:43:42,1.17.0,Bandit,27,4.18,nan,15,10,40,RightWithPellet,Right,0,1,0,0,nan,nan,0.11
10/21/2023 17:46:28,1.17.0,Bandit,27,4.19,2,15,10,40,Pellet,Right,0,1,1,0,Timed_out,nan,nan
10/21/2023 17:49:02,1.17.0,Bandit,27,4.19,nan,15,10,40,Right,Right,0,2,1,1,nan,nan,0.30
10/21/2023 18:32:29,1.17.0,Bandit,27,4.19,nan,15,10,40,Left,Right,1,2,1,1,nan,nan,0.38
