Mouse,Sex,BL_L,BL_R,BL,Acute_L,Acute_R,Acute,Week4_R,Week4_L,Week4,Week8_L,Week8_R,Week8,,BL,Acute,Week4,Week8
846_M1,M,6.946666667,6.553333333,1.060020346,0.653333333,8.57,0.076234928,0.21,5.683333333,0.036950147,5.03,8.052,0.624689518,,1.060020346,0.076234928,0.036950147,0.624689518
846_M2,M,5.023333333,6.46,0.777605779,1.07,5.956666667,0.179630666,0.143333333,6.403333333,0.022384175,5.38,6.918,0.777681411,,0.777605779,0.179630666,0.022384175,0.777681411
846_M3,M,7.69,6.876666667,1.118274358,0.96,6.3,0.152380952,1.05,5.336666667,0.19675203,4.114,8.222,0.500364875,,1.118274358,0.152380952,0.19675203,0.500364875
847_M1,M,6.703333333,6.286666667,1.066277837,0.98,5.453333333,0.179706601,0.433333333,7.296666667,0.059387848,4.508,6.026,0.748091603,,1.066277837,0.179706601,0.059387848,0.748091603
847_M3,M,6.38,3.846666667,1.658578856,0.703333333,5.446666667,0.129130967,0.616666667,6.246666667,0.098719317,2.574,6.448,0.399193548,,1.658578856,0.129130967,0.098719317,0.399193548
848_M1,M,6.016666667,6.65,0.904761905,1.056666667,6.453333333,0.163739669,2.66,6.693333333,0.397410359,2.928,8.484,0.345120226,,0.904761905,0.163739669,0.397410359,0.345120226
848_M2,M,4.383333333,5.503333333,0.796486978,0.336666667,6.476666667,0.051981472,3.856666667,5.15,0.748867314,0.156,6.596,0.023650697,,0.796486978,0.051981472,0.074886731,0.023650697
848_M3,M,7.416666667,6.336666667,1.170436612,0.256666667,6.64,0.038654619,3.603333333,5.093333333,0.707460733,0.232,7.042,0.032945186,,1.170436612,0.038654619,0.707460733,0.032945186
848_M4,M,5.483333333,3.626666667,1.511948529,0.233333333,5.963333333,0.039128004,1.973333333,6.63,0.297637003,0.168,4.814,0.034898214,,1.511948529,0.039128004,0.297637003,0.034898214
846_M4,M,6.366666667,7.433333333,0.856502242,1.203333333,4.493333333,0.267804154,3.943333333,4.483333333,0.879553903,0.518,7.058,0.073391896,,0.856502242,0.267804154,0.479553903,0.073391896
849_M1,M,5.283333333,4.81,1.098406098,0.7,7.156666667,0.097810899,0.546666667,6.583333333,0.083037975,0.96,8.502,0.112914608,,1.098406098,0.097810899,0.083037975,0.112914608
849_M2,M,5.253333333,4.833333333,1.086896552,0.826666667,6.613333333,0.125,0.336666667,10.15666667,0.033147358,0.704,11.28,0.062411348,,1.086896552,0.125,0.033147358,0.062411348
849_M3,M,5.776666667,7.443333333,0.776085983,1.013333333,6.18,0.163969795,1.026666667,6.65,0.154385965,0.612,7.4,0.082702703,,0.776085983,0.163969795,0.154385965,0.082702703
849_M4,M,5.216666667,5.45,0.957186544,1.096666667,8.226666667,0.133306321,0.883333333,7.66,0.115317667,0.58,6.12,0.094771242,,0.957186544,0.133306321,0.115317667,0.094771242
847_M4,M,4.363333333,3.693333333,1.181407942,0.4,5.423333333,0.073755378,0.273333333,6.32,0.043248945,0.872,5.908,0.147596479,,1.181407942,0.073755378,0.043248945,0.147596479
847_M5,M,3.703333333,4.946666667,0.748652291,1.053333333,6.61,0.159354513,0.466666667,6.82,0.068426198,3.022,10.616,0.284664657,,0.748652291,0.159354513,0.068426198,0.284664657
846_M5,M,4.393333333,6.35,0.691863517,0.696666667,7.906666667,0.088111299,2.253333333,7.206666667,0.31267345,1.592,8.046,0.197862292,,0.691863517,0.088111299,0.31267345,0.197862292
850_F1,F,4.723333333,3.723333333,1.268576544,0.56,4.86,0.115226337,0.586666667,2.996666667,0.195773081,0.166666667,3.81,0.043744532,,1.268576544,0.115226337,0.195773081,0.043744532
850_F2,F,5.496666667,3.286666667,1.672413793,3.053333333,5.65,0.540412979,0.88,4.963333333,0.177300201,0.62,7.876666667,0.0787135,,1.672413793,0.540412979,0.177300201,0.0787135
850_F3,F,6.36,4.093333333,1.553745928,1.123333333,6.036666667,0.186085036,0.786666667,5.263333333,0.149461685,0.293333333,5.34,0.054931336,,1.553745928,0.186085036,0.149461685,0.054931336
